SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2020-08-22,0.6
1,基隆,2,一氧化碳,CO,ppm,2020-08-22,0.06
1,基隆,3,臭氧,O3,ppb,2020-08-22,15.3
1,基隆,4,懸浮微粒,PM10,μg/m3,2020-08-22,15
1,基隆,5,氮氧化物,NOx,ppb,2020-08-22,4.4
1,基隆,6,一氧化氮,NO,ppb,2020-08-22,1.3
1,基隆,7,二氧化氮,NO2,ppb,2020-08-22,3.1
1,基隆,8,總碳氫化物,THC,ppm,2020-08-22,1.69
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2020-08-22,0.03
1,基隆,10,風速,WIND_SPEED,m/sec,2020-08-22,1.5
1,基隆,14,溫度,AMB_TEMP,℃,2020-08-22,27.7
1,基隆,31,甲烷,CH4,ppm,2020-08-22,1.67
1,基隆,38,相對濕度,RH,%,2020-08-22,89
1,基隆,143,小時風速值,WS_HR,m/sec,2020-08-22,1.2
2,汐止,1,二氧化硫,SO2,ppb,2020-08-22,1.3
2,汐止,2,一氧化碳,CO,ppm,2020-08-22,0.16
2,汐止,3,臭氧,O3,ppb,2020-08-22,15.6
2,汐止,4,懸浮微粒,PM10,μg/m3,2020-08-22,10
2,汐止,5,氮氧化物,NOx,ppb,2020-08-22,7.2
2,汐止,6,一氧化氮,NO,ppb,2020-08-22,3.9
2,汐止,7,二氧化氮,NO2,ppb,2020-08-22,3.3
2,汐止,10,風速,WIND_SPEED,m/sec,2020-08-22,1.8
2,汐止,14,溫度,AMB_TEMP,℃,2020-08-22,27.8
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,3
2,汐止,38,相對濕度,RH,%,2020-08-22,85
2,汐止,143,小時風速值,WS_HR,m/sec,2020-08-22,1.4
3,萬里,1,二氧化硫,SO2,ppb,2020-08-22,1.8
3,萬里,2,一氧化碳,CO,ppm,2020-08-22,0.08
3,萬里,3,臭氧,O3,ppb,2020-08-22,17.9
3,萬里,4,懸浮微粒,PM10,μg/m3,2020-08-22,21
3,萬里,5,氮氧化物,NOx,ppb,2020-08-22,3.3
3,萬里,6,一氧化氮,NO,ppb,2020-08-22,1.1
3,萬里,7,二氧化氮,NO2,ppb,2020-08-22,2.2
3,萬里,10,風速,WIND_SPEED,m/sec,2020-08-22,3.2
3,萬里,14,溫度,AMB_TEMP,℃,2020-08-22,27.3
3,萬里,22,導電度,RAIN_COND,μmho/cm,2020-08-22,0
3,萬里,32,降雨強度,RAIN_INT,㎜,2020-08-22,0
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,4
3,萬里,38,相對濕度,RH,%,2020-08-22,82
3,萬里,143,小時風速值,WS_HR,m/sec,2020-08-22,3
4,新店,1,二氧化硫,SO2,ppb,2020-08-22,2.1
4,新店,2,一氧化碳,CO,ppm,2020-08-22,0.18
4,新店,3,臭氧,O3,ppb,2020-08-22,12.9
4,新店,4,懸浮微粒,PM10,μg/m3,2020-08-22,5
4,新店,5,氮氧化物,NOx,ppb,2020-08-22,10.2
4,新店,6,一氧化氮,NO,ppb,2020-08-22,3.7
4,新店,7,二氧化氮,NO2,ppb,2020-08-22,6.6
4,新店,10,風速,WIND_SPEED,m/sec,2020-08-22,1.8
4,新店,14,溫度,AMB_TEMP,℃,2020-08-22,27.7
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,2
4,新店,38,相對濕度,RH,%,2020-08-22,79
4,新店,143,小時風速值,WS_HR,m/sec,2020-08-22,1.1
5,土城,1,二氧化硫,SO2,ppb,2020-08-22,2
5,土城,2,一氧化碳,CO,ppm,2020-08-22,0.2
5,土城,3,臭氧,O3,ppb,2020-08-22,12.3
5,土城,4,懸浮微粒,PM10,μg/m3,2020-08-22,9
5,土城,5,氮氧化物,NOx,ppb,2020-08-22,12.5
5,土城,6,一氧化氮,NO,ppb,2020-08-22,3.6
5,土城,7,二氧化氮,NO2,ppb,2020-08-22,9
5,土城,8,總碳氫化物,THC,ppm,2020-08-22,1.85
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2020-08-22,0.08
5,土城,10,風速,WIND_SPEED,m/sec,2020-08-22,1.5
5,土城,14,溫度,AMB_TEMP,℃,2020-08-22,27.8
5,土城,31,甲烷,CH4,ppm,2020-08-22,1.76
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,3
5,土城,38,相對濕度,RH,%,2020-08-22,80
5,土城,143,小時風速值,WS_HR,m/sec,2020-08-22,0.7
6,板橋,1,二氧化硫,SO2,ppb,2020-08-22,2.8
6,板橋,2,一氧化碳,CO,ppm,2020-08-22,0.25
6,板橋,3,臭氧,O3,ppb,2020-08-22,10.8
6,板橋,4,懸浮微粒,PM10,μg/m3,2020-08-22,9
6,板橋,5,氮氧化物,NOx,ppb,2020-08-22,17.3
6,板橋,6,一氧化氮,NO,ppb,2020-08-22,6.7
6,板橋,7,二氧化氮,NO2,ppb,2020-08-22,10.7
6,板橋,8,總碳氫化物,THC,ppm,2020-08-22,2.03
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2020-08-22,0.12
6,板橋,10,風速,WIND_SPEED,m/sec,2020-08-22,2
6,板橋,14,溫度,AMB_TEMP,℃,2020-08-22,27.9
6,板橋,21,酸雨,PH_RAIN,pH,2020-08-22,5.5
6,板橋,22,導電度,RAIN_COND,μmho/cm,2020-08-22,11.6
6,板橋,31,甲烷,CH4,ppm,2020-08-22,1.91
6,板橋,32,降雨強度,RAIN_INT,㎜,2020-08-22,3.7
6,板橋,38,相對濕度,RH,%,2020-08-22,79
6,板橋,143,小時風速值,WS_HR,m/sec,2020-08-22,1.5
7,新莊,1,二氧化硫,SO2,ppb,2020-08-22,1.7
7,新莊,2,一氧化碳,CO,ppm,2020-08-22,0.19
7,新莊,3,臭氧,O3,ppb,2020-08-22,13.5
7,新莊,4,懸浮微粒,PM10,μg/m3,2020-08-22,13
7,新莊,5,氮氧化物,NOx,ppb,2020-08-22,12.9
7,新莊,6,一氧化氮,NO,ppb,2020-08-22,5.6
7,新莊,7,二氧化氮,NO2,ppb,2020-08-22,7.4
7,新莊,10,風速,WIND_SPEED,m/sec,2020-08-22,2.4
7,新莊,14,溫度,AMB_TEMP,℃,2020-08-22,27.9
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,5
7,新莊,38,相對濕度,RH,%,2020-08-22,76
7,新莊,143,小時風速值,WS_HR,m/sec,2020-08-22,2.2
8,菜寮,1,二氧化硫,SO2,ppb,2020-08-22,1.5
8,菜寮,2,一氧化碳,CO,ppm,2020-08-22,0.23
8,菜寮,3,臭氧,O3,ppb,2020-08-22,12.5
8,菜寮,4,懸浮微粒,PM10,μg/m3,2020-08-22,11
8,菜寮,5,氮氧化物,NOx,ppb,2020-08-22,11
8,菜寮,6,一氧化氮,NO,ppb,2020-08-22,3.3
8,菜寮,7,二氧化氮,NO2,ppb,2020-08-22,7.7
8,菜寮,10,風速,WIND_SPEED,m/sec,2020-08-22,2.5
8,菜寮,14,溫度,AMB_TEMP,℃,2020-08-22,28.7
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,4
8,菜寮,38,相對濕度,RH,%,2020-08-22,79
8,菜寮,143,小時風速值,WS_HR,m/sec,2020-08-22,2.1
9,林口,1,二氧化硫,SO2,ppb,2020-08-22,1.2
9,林口,2,一氧化碳,CO,ppm,2020-08-22,0.09
9,林口,3,臭氧,O3,ppb,2020-08-22,15.5
9,林口,4,懸浮微粒,PM10,μg/m3,2020-08-22,7
9,林口,5,氮氧化物,NOx,ppb,2020-08-22,7.4
9,林口,6,一氧化氮,NO,ppb,2020-08-22,2.4
9,林口,7,二氧化氮,NO2,ppb,2020-08-22,5
9,林口,10,風速,WIND_SPEED,m/sec,2020-08-22,2.6
9,林口,14,溫度,AMB_TEMP,℃,2020-08-22,26.7
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,3
9,林口,38,相對濕度,RH,%,2020-08-22,82
9,林口,143,小時風速值,WS_HR,m/sec,2020-08-22,2.1
10,淡水,1,二氧化硫,SO2,ppb,2020-08-22,1
10,淡水,2,一氧化碳,CO,ppm,2020-08-22,0.1
10,淡水,3,臭氧,O3,ppb,2020-08-22,14.6
10,淡水,4,懸浮微粒,PM10,μg/m3,2020-08-22,7
10,淡水,5,氮氧化物,NOx,ppb,2020-08-22,3.4
10,淡水,6,一氧化氮,NO,ppb,2020-08-22,1.1
10,淡水,7,二氧化氮,NO2,ppb,2020-08-22,2.4
10,淡水,10,風速,WIND_SPEED,m/sec,2020-08-22,1.3
10,淡水,14,溫度,AMB_TEMP,℃,2020-08-22,28
11,士林,1,二氧化硫,SO2,ppb,2020-08-22,2.8
11,士林,2,一氧化碳,CO,ppm,2020-08-22,0.16
11,士林,3,臭氧,O3,ppb,2020-08-22,13.9
11,士林,4,懸浮微粒,PM10,μg/m3,2020-08-22,7
11,士林,5,氮氧化物,NOx,ppb,2020-08-22,8.7
11,士林,6,一氧化氮,NO,ppb,2020-08-22,2.3
11,士林,7,二氧化氮,NO2,ppb,2020-08-22,6.4
11,士林,10,風速,WIND_SPEED,m/sec,2020-08-22,2
11,士林,14,溫度,AMB_TEMP,℃,2020-08-22,28.5
11,士林,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,3
11,士林,38,相對濕度,RH,%,2020-08-22,84
11,士林,143,小時風速值,WS_HR,m/sec,2020-08-22,1.7
12,中山,1,二氧化硫,SO2,ppb,2020-08-22,1.6
12,中山,2,一氧化碳,CO,ppm,2020-08-22,0.34
12,中山,3,臭氧,O3,ppb,2020-08-22,9.8
12,中山,4,懸浮微粒,PM10,μg/m3,2020-08-22,12
12,中山,5,氮氧化物,NOx,ppb,2020-08-22,20.4
12,中山,6,一氧化氮,NO,ppb,2020-08-22,10.6
12,中山,7,二氧化氮,NO2,ppb,2020-08-22,9.8
12,中山,8,總碳氫化物,THC,ppm,2020-08-22,1.93
12,中山,9,非甲烷碳氫化合物,NMHC,ppm,2020-08-22,0.11
12,中山,10,風速,WIND_SPEED,m/sec,2020-08-22,1.8
12,中山,14,溫度,AMB_TEMP,℃,2020-08-22,28.4
12,中山,31,甲烷,CH4,ppm,2020-08-22,1.82
12,中山,33,細懸浮微粒,PM2.5,μg/m3,2020-08-22,3
12,中山,38,相對濕度,RH,%,2020-08-22,80
12,中山,143,小時風速值,WS_HR,m/sec,2020-08-22,1.3
13,萬華,1,二氧化硫,SO2,ppb,2020-08-22,2.1
13,萬華,2,一氧化碳,CO,ppm,2020-08-22,0.25
13,萬華,3,臭氧,O3,ppb,2020-08-22,10.9
13,萬華,4,懸浮微粒,PM10,μg/m3,2020-08-22,10
