SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2020-06-12,2.4
1,基隆,2,一氧化碳,CO,ppm,2020-06-12,.25
1,基隆,3,臭氧,O3,ppb,2020-06-12,27.5
1,基隆,4,懸浮微粒,PM10,μg/m3,2020-06-12,24
1,基隆,5,氮氧化物,NOx,ppb,2020-06-12,10.88
1,基隆,6,一氧化氮,NO,ppb,2020-06-12,3.29
1,基隆,7,二氧化氮,NO2,ppb,2020-06-12,7.59
1,基隆,8,總碳氫化合物,THC,ppm,2020-06-12,1.815
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2020-06-12,.088
1,基隆,10,風速,WIND_SPEED,m/sec,2020-06-12,1.28
1,基隆,14,溫度,AMB_TEMP,℃,2020-06-12,29.97
1,基隆,31,甲烷,CH4,ppm,2020-06-12,1.728
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2020-06-12,11
1,基隆,38,相對濕度,RH,percent,2020-06-12,77.84
1,基隆,143,小時風速值,WS_HR,m/sec,2020-06-12,.57
2,汐止,1,二氧化硫,SO2,ppb,2020-06-12,2.3
2,汐止,2,一氧化碳,CO,ppm,2020-06-12,.33
2,汐止,3,臭氧,O3,ppb,2020-06-12,31.4
2,汐止,4,懸浮微粒,PM10,μg/m3,2020-06-12,27
2,汐止,5,氮氧化物,NOx,ppb,2020-06-12,19.72
2,汐止,6,一氧化氮,NO,ppb,2020-06-12,7.04
2,汐止,7,二氧化氮,NO2,ppb,2020-06-12,12.68
2,汐止,10,風速,WIND_SPEED,m/sec,2020-06-12,1.45
2,汐止,14,溫度,AMB_TEMP,℃,2020-06-12,30.79
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2020-06-12,14
2,汐止,38,相對濕度,RH,percent,2020-06-12,70.06
2,汐止,143,小時風速值,WS_HR,m/sec,2020-06-12,1.14
3,萬里,1,二氧化硫,SO2,ppb,2020-06-12,2.7
3,萬里,2,一氧化碳,CO,ppm,2020-06-12,.25
3,萬里,3,臭氧,O3,ppb,2020-06-12,30.9
3,萬里,4,懸浮微粒,PM10,μg/m3,2020-06-12,26
3,萬里,5,氮氧化物,NOx,ppb,2020-06-12,8.45
3,萬里,6,一氧化氮,NO,ppb,2020-06-12,2.54
3,萬里,7,二氧化氮,NO2,ppb,2020-06-12,5.91
3,萬里,10,風速,WIND_SPEED,m/sec,2020-06-12,2.24
3,萬里,14,溫度,AMB_TEMP,℃,2020-06-12,27.71
3,萬里,21,酸雨,PH_RAIN,pH,2020-06-12,0
3,萬里,22,導電度,RAIN_COND,μmho/cm,2020-06-12,0
3,萬里,32,降雨強度,RAIN_INT,㎜,2020-06-12,0
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2020-06-12,13
3,萬里,38,相對濕度,RH,percent,2020-06-12,76.62
3,萬里,143,小時風速值,WS_HR,m/sec,2020-06-12,1.95
4,新店,1,二氧化硫,SO2,ppb,2020-06-12,1.6
4,新店,2,一氧化碳,CO,ppm,2020-06-12,.34
4,新店,3,臭氧,O3,ppb,2020-06-12,34.2
4,新店,4,懸浮微粒,PM10,μg/m3,2020-06-12,27
4,新店,5,氮氧化物,NOx,ppb,2020-06-12,12.17
4,新店,6,一氧化氮,NO,ppb,2020-06-12,2.62
4,新店,7,二氧化氮,NO2,ppb,2020-06-12,9.55
4,新店,10,風速,WIND_SPEED,m/sec,2020-06-12,1.97
4,新店,14,溫度,AMB_TEMP,℃,2020-06-12,29.82
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2020-06-12,13
4,新店,38,相對濕度,RH,percent,2020-06-12,70.18
4,新店,143,小時風速值,WS_HR,m/sec,2020-06-12,1.58
5,土城,1,二氧化硫,SO2,ppb,2020-06-12,2.3
5,土城,2,一氧化碳,CO,ppm,2020-06-12,.45
5,土城,3,臭氧,O3,ppb,2020-06-12,24.1
5,土城,4,懸浮微粒,PM10,μg/m3,2020-06-12,32
5,土城,5,氮氧化物,NOx,ppb,2020-06-12,21.85
5,土城,6,一氧化氮,NO,ppb,2020-06-12,5.34
5,土城,7,二氧化氮,NO2,ppb,2020-06-12,16.5
5,土城,8,總碳氫化合物,THC,ppm,2020-06-12,1.912
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2020-06-12,.223
5,土城,10,風速,WIND_SPEED,m/sec,2020-06-12,1.35
