SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-11-05,1.5
1,基隆,2,一氧化碳,CO,ppm,2019-11-05,.21
1,基隆,3,臭氧,O3,ppb,2019-11-05,62.1
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-11-05,44
1,基隆,5,氮氧化物,NOx,ppb,2019-11-05,3.91
1,基隆,6,一氧化氮,NO,ppb,2019-11-05,1.57
1,基隆,7,二氧化氮,NO2,ppb,2019-11-05,2.35
1,基隆,8,總碳氫化合物,THC,ppm,2019-11-05,1.875
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-11-05,.024
1,基隆,10,風速,WIND_SPEED,m/sec,2019-11-05,1.73
1,基隆,14,溫度,AMB_TEMP,℃,2019-11-05,22.86
1,基隆,31,甲烷,CH4,ppm,2019-11-05,1.852
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-11-05,17
1,基隆,38,相對濕度,RH,percent,2019-11-05,69.1
1,基隆,143,小時風速值,WS_HR,m/sec,2019-11-05,1.27
2,汐止,1,二氧化硫,SO2,ppb,2019-11-05,2.2
2,汐止,2,一氧化碳,CO,ppm,2019-11-05,.33
2,汐止,3,臭氧,O3,ppb,2019-11-05,47.2
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-11-05,39
2,汐止,5,氮氧化物,NOx,ppb,2019-11-05,17.75
2,汐止,6,一氧化氮,NO,ppb,2019-11-05,2.12
2,汐止,7,二氧化氮,NO2,ppb,2019-11-05,15.63
2,汐止,10,風速,WIND_SPEED,m/sec,2019-11-05,2.39
2,汐止,14,溫度,AMB_TEMP,℃,2019-11-05,21.66
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-11-05,17
2,汐止,38,相對濕度,RH,percent,2019-11-05,79.01
2,汐止,143,小時風速值,WS_HR,m/sec,2019-11-05,2.18
3,萬里,1,二氧化硫,SO2,ppb,2019-11-05,2.5
3,萬里,2,一氧化碳,CO,ppm,2019-11-05,.18
3,萬里,3,臭氧,O3,ppb,2019-11-05,65
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-11-05,83
3,萬里,5,氮氧化物,NOx,ppb,2019-11-05,3.44
3,萬里,6,一氧化氮,NO,ppb,2019-11-05,.66
3,萬里,7,二氧化氮,NO2,ppb,2019-11-05,2.73
3,萬里,10,風速,WIND_SPEED,m/sec,2019-11-05,8.49
3,萬里,14,溫度,AMB_TEMP,℃,2019-11-05,23.28
3,萬里,21,酸雨,PH_RAIN,pH,2019-11-05,3.93
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-11-05,997.6
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-11-05,1
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-11-05,23
3,萬里,38,相對濕度,RH,percent,2019-11-05,72.17
3,萬里,143,小時風速值,WS_HR,m/sec,2019-11-05,8.26
4,新店,1,二氧化硫,SO2,ppb,2019-11-05,1.1
4,新店,2,一氧化碳,CO,ppm,2019-11-05,.31
4,新店,3,臭氧,O3,ppb,2019-11-05,45.6
4,新店,4,懸浮微粒,PM10,μg/m3,2019-11-05,30
4,新店,5,氮氧化物,NOx,ppb,2019-11-05,12.18
4,新店,6,一氧化氮,NO,ppb,2019-11-05,1.03
4,新店,7,二氧化氮,NO2,ppb,2019-11-05,11.13
4,新店,10,風速,WIND_SPEED,m/sec,2019-11-05,1.88
4,新店,14,溫度,AMB_TEMP,℃,2019-11-05,21.34
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2019-11-05,15
4,新店,38,相對濕度,RH,percent,2019-11-05,75.86
4,新店,143,小時風速值,WS_HR,m/sec,2019-11-05,1.58
5,土城,1,二氧化硫,SO2,ppb,2019-11-05,1.5
5,土城,2,一氧化碳,CO,ppm,2019-11-05,.31
5,土城,3,臭氧,O3,ppb,2019-11-05,47
5,土城,4,懸浮微粒,PM10,μg/m3,2019-11-05,32
5,土城,5,氮氧化物,NOx,ppb,2019-11-05,11.56
5,土城,6,一氧化氮,NO,ppb,2019-11-05,.48
5,土城,7,二氧化氮,NO2,ppb,2019-11-05,11.12
5,土城,8,總碳氫化合物,THC,ppm,2019-11-05,1.885
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2019-11-05,.088
5,土城,10,風速,WIND_SPEED,m/sec,2019-11-05,1.25
5,土城,14,溫度,AMB_TEMP,℃,2019-11-05,21.37
5,土城,31,甲烷,CH4,ppm,2019-11-05,1.798
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2019-11-05,15
5,土城,38,相對濕度,RH,percent,2019-11-05,76.78
5,土城,143,小時風速值,WS_HR,m/sec,2019-11-05,.81
6,板橋,1,二氧化硫,SO2,ppb,2019-11-05,2.2
