SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-09-29,1.9
1,基隆,2,一氧化碳,CO,ppm,2019-09-29,.08
1,基隆,3,臭氧,O3,ppb,2019-09-29,15.9
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-09-29,21
1,基隆,5,氮氧化物,NOx,ppb,2019-09-29,3.96
1,基隆,6,一氧化氮,NO,ppb,2019-09-29,1.93
1,基隆,7,二氧化氮,NO2,ppb,2019-09-29,2.04
1,基隆,8,總碳氫化合物,THC,ppm,2019-09-29,1.638
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-09-29,.015
1,基隆,10,風速,WIND_SPEED,m/sec,2019-09-29,1.34
1,基隆,14,溫度,AMB_TEMP,℃,2019-09-29,26.52
1,基隆,31,甲烷,CH4,ppm,2019-09-29,1.624
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,5
1,基隆,38,相對濕度,RH,percent,2019-09-29,96.64
1,基隆,143,小時風速值,WS_HR,m/sec,2019-09-29,.94
2,汐止,1,二氧化硫,SO2,ppb,2019-09-29,1.6
2,汐止,2,一氧化碳,CO,ppm,2019-09-29,.15
2,汐止,3,臭氧,O3,ppb,2019-09-29,12.2
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-09-29,10
2,汐止,5,氮氧化物,NOx,ppb,2019-09-29,7.92
2,汐止,6,一氧化氮,NO,ppb,2019-09-29,2.63
2,汐止,7,二氧化氮,NO2,ppb,2019-09-29,5.29
2,汐止,10,風速,WIND_SPEED,m/sec,2019-09-29,2.85
2,汐止,14,溫度,AMB_TEMP,℃,2019-09-29,27.15
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,4
2,汐止,38,相對濕度,RH,percent,2019-09-29,94.01
2,汐止,143,小時風速值,WS_HR,m/sec,2019-09-29,2.49
3,萬里,1,二氧化硫,SO2,ppb,2019-09-29,1.5
3,萬里,2,一氧化碳,CO,ppm,2019-09-29,.12
3,萬里,3,臭氧,O3,ppb,2019-09-29,19.6
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-09-29,29
3,萬里,5,氮氧化物,NOx,ppb,2019-09-29,4.46
3,萬里,6,一氧化氮,NO,ppb,2019-09-29,1.31
3,萬里,7,二氧化氮,NO2,ppb,2019-09-29,3.17
3,萬里,10,風速,WIND_SPEED,m/sec,2019-09-29,4.04
3,萬里,14,溫度,AMB_TEMP,℃,2019-09-29,26.72
3,萬里,21,酸雨,PH_RAIN,pH,2019-09-29,4.72
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-09-29,29.06
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-09-29,2.46
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,9
3,萬里,38,相對濕度,RH,percent,2019-09-29,93.78
3,萬里,143,小時風速值,WS_HR,m/sec,2019-09-29,3.75
4,新店,1,二氧化硫,SO2,ppb,2019-09-29,.9
4,新店,2,一氧化碳,CO,ppm,2019-09-29,.22
4,新店,3,臭氧,O3,ppb,2019-09-29,7.4
4,新店,4,懸浮微粒,PM10,μg/m3,2019-09-29,6
4,新店,5,氮氧化物,NOx,ppb,2019-09-29,9.85
4,新店,6,一氧化氮,NO,ppb,2019-09-29,3.89
4,新店,7,二氧化氮,NO2,ppb,2019-09-29,5.95
4,新店,10,風速,WIND_SPEED,m/sec,2019-09-29,1.7
4,新店,14,溫度,AMB_TEMP,℃,2019-09-29,27.21
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,3
4,新店,38,相對濕度,RH,percent,2019-09-29,81.41
4,新店,143,小時風速值,WS_HR,m/sec,2019-09-29,1.1
5,土城,1,二氧化硫,SO2,ppb,2019-09-29,1.7
5,土城,2,一氧化碳,CO,ppm,2019-09-29,.23
5,土城,3,臭氧,O3,ppb,2019-09-29,9.9
5,土城,4,懸浮微粒,PM10,μg/m3,2019-09-29,8
5,土城,5,氮氧化物,NOx,ppb,2019-09-29,10.43
5,土城,6,一氧化氮,NO,ppb,2019-09-29,3.18
5,土城,7,二氧化氮,NO2,ppb,2019-09-29,7.25
5,土城,8,總碳氫化合物,THC,ppm,2019-09-29,1.869
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2019-09-29,.107
5,土城,10,風速,WIND_SPEED,m/sec,2019-09-29,1.5
5,土城,14,溫度,AMB_TEMP,℃,2019-09-29,27.27
5,土城,31,甲烷,CH4,ppm,2019-09-29,1.762
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,4
5,土城,38,相對濕度,RH,percent,2019-09-29,84.68
5,土城,143,小時風速值,WS_HR,m/sec,2019-09-29,.85
6,板橋,1,二氧化硫,SO2,ppb,2019-09-29,x
6,板橋,2,一氧化碳,CO,ppm,2019-09-29,.27
6,板橋,3,臭氧,O3,ppb,2019-09-29,9.8
6,板橋,4,懸浮微粒,PM10,μg/m3,2019-09-29,9
6,板橋,5,氮氧化物,NOx,ppb,2019-09-29,14.98
6,板橋,6,一氧化氮,NO,ppb,2019-09-29,6.03
6,板橋,7,二氧化氮,NO2,ppb,2019-09-29,8.95
6,板橋,8,總碳氫化合物,THC,ppm,2019-09-29,1.901
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2019-09-29,.097
6,板橋,10,風速,WIND_SPEED,m/sec,2019-09-29,2.83
6,板橋,14,溫度,AMB_TEMP,℃,2019-09-29,26.81
6,板橋,21,酸雨,PH_RAIN,pH,2019-09-29,5.57
6,板橋,22,導電度,RAIN_COND,μmho/cm,2019-09-29,5.21
6,板橋,31,甲烷,CH4,ppm,2019-09-29,1.804
6,板橋,32,降雨強度,RAIN_INT,㎜,2019-09-29,2.19
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,6
6,板橋,38,相對濕度,RH,percent,2019-09-29,85.5
6,板橋,143,小時風速值,WS_HR,m/sec,2019-09-29,2.33
7,新莊,1,二氧化硫,SO2,ppb,2019-09-29,1.6
7,新莊,2,一氧化碳,CO,ppm,2019-09-29,.21
7,新莊,3,臭氧,O3,ppb,2019-09-29,11
7,新莊,4,懸浮微粒,PM10,μg/m3,2019-09-29,8
7,新莊,5,氮氧化物,NOx,ppb,2019-09-29,12.99
7,新莊,6,一氧化氮,NO,ppb,2019-09-29,5.95
7,新莊,7,二氧化氮,NO2,ppb,2019-09-29,7.04
7,新莊,10,風速,WIND_SPEED,m/sec,2019-09-29,4.12
7,新莊,14,溫度,AMB_TEMP,℃,2019-09-29,27.64
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,9
7,新莊,38,相對濕度,RH,percent,2019-09-29,78.35
7,新莊,143,小時風速值,WS_HR,m/sec,2019-09-29,3.67
8,菜寮,1,二氧化硫,SO2,ppb,2019-09-29,1.7
8,菜寮,2,一氧化碳,CO,ppm,2019-09-29,.3
8,菜寮,3,臭氧,O3,ppb,2019-09-29,9
8,菜寮,4,懸浮微粒,PM10,μg/m3,2019-09-29,9
8,菜寮,5,氮氧化物,NOx,ppb,2019-09-29,14.04
8,菜寮,6,一氧化氮,NO,ppb,2019-09-29,5.86
8,菜寮,7,二氧化氮,NO2,ppb,2019-09-29,8.18
8,菜寮,10,風速,WIND_SPEED,m/sec,2019-09-29,2.92
8,菜寮,14,溫度,AMB_TEMP,℃,2019-09-29,27.13
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,6
8,菜寮,38,相對濕度,RH,percent,2019-09-29,84.78
8,菜寮,143,小時風速值,WS_HR,m/sec,2019-09-29,2.41
9,林口,1,二氧化硫,SO2,ppb,2019-09-29,1.4
9,林口,2,一氧化碳,CO,ppm,2019-09-29,.14
9,林口,3,臭氧,O3,ppb,2019-09-29,11.9
9,林口,4,懸浮微粒,PM10,μg/m3,2019-09-29,8
9,林口,5,氮氧化物,NOx,ppb,2019-09-29,7.57
9,林口,6,一氧化氮,NO,ppb,2019-09-29,2.42
9,林口,7,二氧化氮,NO2,ppb,2019-09-29,5.15
9,林口,10,風速,WIND_SPEED,m/sec,2019-09-29,2.91
9,林口,14,溫度,AMB_TEMP,℃,2019-09-29,25.77
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,4
9,林口,38,相對濕度,RH,percent,2019-09-29,87.71
9,林口,143,小時風速值,WS_HR,m/sec,2019-09-29,2.66
10,淡水,1,二氧化硫,SO2,ppb,2019-09-29,1.4
10,淡水,2,一氧化碳,CO,ppm,2019-09-29,.18
10,淡水,3,臭氧,O3,ppb,2019-09-29,10.6
10,淡水,4,懸浮微粒,PM10,μg/m3,2019-09-29,9
10,淡水,5,氮氧化物,NOx,ppb,2019-09-29,6.21
10,淡水,6,一氧化氮,NO,ppb,2019-09-29,2.18
10,淡水,7,二氧化氮,NO2,ppb,2019-09-29,4.03
10,淡水,10,風速,WIND_SPEED,m/sec,2019-09-29,1.02
10,淡水,14,溫度,AMB_TEMP,℃,2019-09-29,25.87
10,淡水,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,4
10,淡水,38,相對濕度,RH,percent,2019-09-29,98.21
11,士林,1,二氧化硫,SO2,ppb,2019-09-29,1.8
11,士林,2,一氧化碳,CO,ppm,2019-09-29,.13
11,士林,3,臭氧,O3,ppb,2019-09-29,11.4
11,士林,4,懸浮微粒,PM10,μg/m3,2019-09-29,8
11,士林,5,氮氧化物,NOx,ppb,2019-09-29,7.02
11,士林,6,一氧化氮,NO,ppb,2019-09-29,2.36
11,士林,7,二氧化氮,NO2,ppb,2019-09-29,4.67
11,士林,10,風速,WIND_SPEED,m/sec,2019-09-29,2.65
11,士林,14,溫度,AMB_TEMP,℃,2019-09-29,27.87
11,士林,33,細懸浮微粒,PM2.5,μg/m3,2019-09-29,2
11,士林,38,相對濕度,RH,percent,2019-09-29,86.03
11,士林,143,小時風速值,WS_HR,m/sec,2019-09-29,2.08
12,中山,1,二氧化硫,SO2,ppb,2019-09-29,1.5
12,中山,2,一氧化碳,CO,ppm,2019-09-29,.31
