SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2020-05-10,2.8
1,基隆,2,一氧化碳,CO,ppm,2020-05-10,.22
1,基隆,3,臭氧,O3,ppb,2020-05-10,26.4
1,基隆,4,懸浮微粒,PM10,μg/m3,2020-05-10,21
1,基隆,5,氮氧化物,NOx,ppb,2020-05-10,8.74
1,基隆,6,一氧化氮,NO,ppb,2020-05-10,.98
1,基隆,7,二氧化氮,NO2,ppb,2020-05-10,7.74
1,基隆,8,總碳氫化合物,THC,ppm,2020-05-10,1.719
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2020-05-10,.043
1,基隆,10,風速,WIND_SPEED,m/sec,2020-05-10,1.02
1,基隆,14,溫度,AMB_TEMP,℃,2020-05-10,28.2
1,基隆,31,甲烷,CH4,ppm,2020-05-10,1.676
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,11
1,基隆,38,相對濕度,RH,percent,2020-05-10,87.55
1,基隆,143,小時風速值,WS_HR,m/sec,2020-05-10,.59
2,汐止,1,二氧化硫,SO2,ppb,2020-05-10,1.9
2,汐止,2,一氧化碳,CO,ppm,2020-05-10,.3
2,汐止,3,臭氧,O3,ppb,2020-05-10,31.7
2,汐止,4,懸浮微粒,PM10,μg/m3,2020-05-10,20
2,汐止,5,氮氧化物,NOx,ppb,2020-05-10,11.32
2,汐止,6,一氧化氮,NO,ppb,2020-05-10,2.57
2,汐止,7,二氧化氮,NO2,ppb,2020-05-10,8.75
2,汐止,10,風速,WIND_SPEED,m/sec,2020-05-10,1.89
2,汐止,14,溫度,AMB_TEMP,℃,2020-05-10,29.15
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,13
2,汐止,38,相對濕度,RH,percent,2020-05-10,79.58
2,汐止,143,小時風速值,WS_HR,m/sec,2020-05-10,1.55
3,萬里,1,二氧化硫,SO2,ppb,2020-05-10,2.4
3,萬里,2,一氧化碳,CO,ppm,2020-05-10,.22
3,萬里,3,臭氧,O3,ppb,2020-05-10,28.6
3,萬里,4,懸浮微粒,PM10,μg/m3,2020-05-10,25
3,萬里,5,氮氧化物,NOx,ppb,2020-05-10,5.67
3,萬里,6,一氧化氮,NO,ppb,2020-05-10,1.6
3,萬里,7,二氧化氮,NO2,ppb,2020-05-10,4.07
3,萬里,10,風速,WIND_SPEED,m/sec,2020-05-10,2.43
3,萬里,14,溫度,AMB_TEMP,℃,2020-05-10,26.35
3,萬里,21,酸雨,PH_RAIN,pH,2020-05-10,4.18
3,萬里,22,導電度,RAIN_COND,μmho/cm,2020-05-10,29.28
3,萬里,32,降雨強度,RAIN_INT,㎜,2020-05-10,4.42
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,12
3,萬里,38,相對濕度,RH,percent,2020-05-10,84.13
3,萬里,143,小時風速值,WS_HR,m/sec,2020-05-10,2.29
4,新店,1,二氧化硫,SO2,ppb,2020-05-10,2.1
4,新店,2,一氧化碳,CO,ppm,2020-05-10,.32
4,新店,3,臭氧,O3,ppb,2020-05-10,32.1
4,新店,4,懸浮微粒,PM10,μg/m3,2020-05-10,21
4,新店,5,氮氧化物,NOx,ppb,2020-05-10,12.1
4,新店,6,一氧化氮,NO,ppb,2020-05-10,2.23
4,新店,7,二氧化氮,NO2,ppb,2020-05-10,9.88
4,新店,10,風速,WIND_SPEED,m/sec,2020-05-10,1.67
4,新店,14,溫度,AMB_TEMP,℃,2020-05-10,28.93
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,14
4,新店,38,相對濕度,RH,percent,2020-05-10,75.8
4,新店,143,小時風速值,WS_HR,m/sec,2020-05-10,1.14
5,土城,1,二氧化硫,SO2,ppb,2020-05-10,2.5
5,土城,2,一氧化碳,CO,ppm,2020-05-10,.33
5,土城,3,臭氧,O3,ppb,2020-05-10,30.9
5,土城,4,懸浮微粒,PM10,μg/m3,2020-05-10,25
5,土城,5,氮氧化物,NOx,ppb,2020-05-10,14.21
5,土城,6,一氧化氮,NO,ppb,2020-05-10,3.88
5,土城,7,二氧化氮,NO2,ppb,2020-05-10,10.33
5,土城,8,總碳氫化合物,THC,ppm,2020-05-10,1.877
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2020-05-10,.115
5,土城,10,風速,WIND_SPEED,m/sec,2020-05-10,1.37
5,土城,14,溫度,AMB_TEMP,℃,2020-05-10,28.73
5,土城,31,甲烷,CH4,ppm,2020-05-10,1.762
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,14
5,土城,38,相對濕度,RH,percent,2020-05-10,75.55
5,土城,143,小時風速值,WS_HR,m/sec,2020-05-10,1.01
6,板橋,1,二氧化硫,SO2,ppb,2020-05-10,2.8
6,板橋,2,一氧化碳,CO,ppm,2020-05-10,.37
6,板橋,3,臭氧,O3,ppb,2020-05-10,26
6,板橋,4,懸浮微粒,PM10,μg/m3,2020-05-10,24
6,板橋,5,氮氧化物,NOx,ppb,2020-05-10,14.79
6,板橋,6,一氧化氮,NO,ppb,2020-05-10,3.12
6,板橋,7,二氧化氮,NO2,ppb,2020-05-10,11.67
6,板橋,8,總碳氫化合物,THC,ppm,2020-05-10,2.046
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2020-05-10,.146
6,板橋,10,風速,WIND_SPEED,m/sec,2020-05-10,1.96
6,板橋,14,溫度,AMB_TEMP,℃,2020-05-10,29.33
6,板橋,21,酸雨,PH_RAIN,pH,2020-05-10,4.63
6,板橋,22,導電度,RAIN_COND,μmho/cm,2020-05-10,44.6
6,板橋,31,甲烷,CH4,ppm,2020-05-10,1.9
6,板橋,32,降雨強度,RAIN_INT,㎜,2020-05-10,1.25
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,12
6,板橋,38,相對濕度,RH,percent,2020-05-10,73.08
6,板橋,143,小時風速值,WS_HR,m/sec,2020-05-10,1.54
7,新莊,1,二氧化硫,SO2,ppb,2020-05-10,2.5
7,新莊,2,一氧化碳,CO,ppm,2020-05-10,.33
7,新莊,3,臭氧,O3,ppb,2020-05-10,29.5
7,新莊,4,懸浮微粒,PM10,μg/m3,2020-05-10,23
7,新莊,5,氮氧化物,NOx,ppb,2020-05-10,14.93
7,新莊,6,一氧化氮,NO,ppb,2020-05-10,4.93
7,新莊,7,二氧化氮,NO2,ppb,2020-05-10,10
7,新莊,10,風速,WIND_SPEED,m/sec,2020-05-10,2.31
7,新莊,14,溫度,AMB_TEMP,℃,2020-05-10,29.4
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,14
7,新莊,38,相對濕度,RH,percent,2020-05-10,72.1
7,新莊,143,小時風速值,WS_HR,m/sec,2020-05-10,2.02
8,菜寮,1,二氧化硫,SO2,ppb,2020-05-10,2.6
8,菜寮,2,一氧化碳,CO,ppm,2020-05-10,.31
8,菜寮,3,臭氧,O3,ppb,2020-05-10,22.6
8,菜寮,4,懸浮微粒,PM10,μg/m3,2020-05-10,23
8,菜寮,5,氮氧化物,NOx,ppb,2020-05-10,13.64
8,菜寮,6,一氧化氮,NO,ppb,2020-05-10,2.74
8,菜寮,7,二氧化氮,NO2,ppb,2020-05-10,10.9
8,菜寮,10,風速,WIND_SPEED,m/sec,2020-05-10,2.02
8,菜寮,14,溫度,AMB_TEMP,℃,2020-05-10,29.68
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,13
8,菜寮,38,相對濕度,RH,percent,2020-05-10,74.84
8,菜寮,143,小時風速值,WS_HR,m/sec,2020-05-10,1.45
9,林口,1,二氧化硫,SO2,ppb,2020-05-10,1.6
9,林口,2,一氧化碳,CO,ppm,2020-05-10,.24
9,林口,3,臭氧,O3,ppb,2020-05-10,27.8
9,林口,4,懸浮微粒,PM10,μg/m3,2020-05-10,22
9,林口,5,氮氧化物,NOx,ppb,2020-05-10,10.25
9,林口,6,一氧化氮,NO,ppb,2020-05-10,1.85
9,林口,7,二氧化氮,NO2,ppb,2020-05-10,8.36
9,林口,10,風速,WIND_SPEED,m/sec,2020-05-10,1.85
9,林口,14,溫度,AMB_TEMP,℃,2020-05-10,27.21
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,12
9,林口,38,相對濕度,RH,percent,2020-05-10,80.67
9,林口,143,小時風速值,WS_HR,m/sec,2020-05-10,1.52
10,淡水,1,二氧化硫,SO2,ppb,2020-05-10,1.9
10,淡水,2,一氧化碳,CO,ppm,2020-05-10,.23
10,淡水,3,臭氧,O3,ppb,2020-05-10,22.4
10,淡水,4,懸浮微粒,PM10,μg/m3,2020-05-10,16
10,淡水,5,氮氧化物,NOx,ppb,2020-05-10,10.06
10,淡水,6,一氧化氮,NO,ppb,2020-05-10,2.54
10,淡水,7,二氧化氮,NO2,ppb,2020-05-10,7.52
10,淡水,10,風速,WIND_SPEED,m/sec,2020-05-10,1.13
10,淡水,14,溫度,AMB_TEMP,℃,2020-05-10,27.99
10,淡水,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,10
10,淡水,38,相對濕度,RH,percent,2020-05-10,79.88
11,士林,1,二氧化硫,SO2,ppb,2020-05-10,2.5
11,士林,2,一氧化碳,CO,ppm,2020-05-10,.26
11,士林,3,臭氧,O3,ppb,2020-05-10,28.2
11,士林,4,懸浮微粒,PM10,μg/m3,2020-05-10,22
11,士林,5,氮氧化物,NOx,ppb,2020-05-10,10.82
11,士林,6,一氧化氮,NO,ppb,2020-05-10,2.99
11,士林,7,二氧化氮,NO2,ppb,2020-05-10,7.83
11,士林,10,風速,WIND_SPEED,m/sec,2020-05-10,2.27
11,士林,14,溫度,AMB_TEMP,℃,2020-05-10,29.59
11,士林,33,細懸浮微粒,PM2.5,μg/m3,2020-05-10,12
11,士林,38,相對濕度,RH,percent,2020-05-10,86.42
11,士林,143,小時風速值,WS_HR,m/sec,2020-05-10,1.92
12,中山,1,二氧化硫,SO2,ppb,2020-05-10,1.9
12,中山,2,一氧化碳,CO,ppm,2020-05-10,.44
12,中山,3,臭氧,O3,ppb,2020-05-10,25.7
12,中山,4,懸浮微粒,PM10,μg/m3,2020-05-10,24
12,中山,5,氮氧化物,NOx,ppb,2020-05-10,19.13
12,中山,6,一氧化氮,NO,ppb,2020-05-10,5.3
