SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-03-09,1.9
1,基隆,2,一氧化碳,CO,ppm,2019-03-09,.47
1,基隆,3,臭氧,O3,ppb,2019-03-09,19.9
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-03-09,16
1,基隆,5,氮氧化物,NOx,ppb,2019-03-09,25.78
1,基隆,6,一氧化氮,NO,ppb,2019-03-09,4.29
1,基隆,7,二氧化氮,NO2,ppb,2019-03-09,21.49
1,基隆,8,總碳氫化合物,THC,ppm,2019-03-09,2.158
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-03-09,.168
1,基隆,10,風速,WIND_SPEED,m/sec,2019-03-09,.88
1,基隆,14,溫度,AMB_TEMP,℃,2019-03-09,17.84
1,基隆,31,甲烷,CH4,ppm,2019-03-09,1.99
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-03-09,5
1,基隆,38,相對濕度,RH,percent,2019-03-09,97.09
1,基隆,143,小時風速值,WS_HR,m/sec,2019-03-09,.55
2,汐止,1,二氧化硫,SO2,ppb,2019-03-09,2.4
2,汐止,2,一氧化碳,CO,ppm,2019-03-09,.8
2,汐止,3,臭氧,O3,ppb,2019-03-09,9.3
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-03-09,14
2,汐止,5,氮氧化物,NOx,ppb,2019-03-09,50.49
2,汐止,6,一氧化氮,NO,ppb,2019-03-09,17.25
2,汐止,7,二氧化氮,NO2,ppb,2019-03-09,33.25
2,汐止,10,風速,WIND_SPEED,m/sec,2019-03-09,.71
2,汐止,14,溫度,AMB_TEMP,℃,2019-03-09,18.25
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-03-09,11
2,汐止,38,相對濕度,RH,percent,2019-03-09,96.3
2,汐止,143,小時風速值,WS_HR,m/sec,2019-03-09,.48
3,萬里,1,二氧化硫,SO2,ppb,2019-03-09,1.2
3,萬里,2,一氧化碳,CO,ppm,2019-03-09,.29
3,萬里,3,臭氧,O3,ppb,2019-03-09,37.1
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-03-09,14
3,萬里,5,氮氧化物,NOx,ppb,2019-03-09,10.43
3,萬里,6,一氧化氮,NO,ppb,2019-03-09,1.7
3,萬里,7,二氧化氮,NO2,ppb,2019-03-09,8.73
3,萬里,10,風速,WIND_SPEED,m/sec,2019-03-09,1.72
3,萬里,14,溫度,AMB_TEMP,℃,2019-03-09,18.3
3,萬里,21,酸雨,PH_RAIN,pH,2019-03-09,4.29
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-03-09,14.67
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-03-09,1.61
