SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-02-27,2.2
1,基隆,2,一氧化碳,CO,ppm,2019-02-27,.68
1,基隆,3,臭氧,O3,ppb,2019-02-27,21.9
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-02-27,55
1,基隆,5,氮氧化物,NOx,ppb,2019-02-27,24.48
1,基隆,6,一氧化氮,NO,ppb,2019-02-27,5.55
1,基隆,7,二氧化氮,NO2,ppb,2019-02-27,18.93
1,基隆,8,總碳氫化合物,THC,ppm,2019-02-27,2.308
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-02-27,.193
1,基隆,10,風速,WIND_SPEED,m/sec,2019-02-27,.62
1,基隆,14,溫度,AMB_TEMP,℃,2019-02-27,18.6
1,基隆,31,甲烷,CH4,ppm,2019-02-27,2.115
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-02-27,22
1,基隆,38,相對濕度,RH,percent,2019-02-27,91.53
1,基隆,143,小時風速值,WS_HR,m/sec,2019-02-27,.33
2,汐止,1,二氧化硫,SO2,ppb,2019-02-27,3.4
2,汐止,2,一氧化碳,CO,ppm,2019-02-27,.87
2,汐止,3,臭氧,O3,ppb,2019-02-27,17
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-02-27,63
2,汐止,5,氮氧化物,NOx,ppb,2019-02-27,52.04
2,汐止,6,一氧化氮,NO,ppb,2019-02-27,18.38
2,汐止,7,二氧化氮,NO2,ppb,2019-02-27,33.66
2,汐止,10,風速,WIND_SPEED,m/sec,2019-02-27,.8
2,汐止,14,溫度,AMB_TEMP,℃,2019-02-27,20.01
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-02-27,33
2,汐止,38,相對濕度,RH,percent,2019-02-27,84.28
2,汐止,143,小時風速值,WS_HR,m/sec,2019-02-27,.6
3,萬里,1,二氧化硫,SO2,ppb,2019-02-27,1.8
3,萬里,2,一氧化碳,CO,ppm,2019-02-27,.42
3,萬里,3,臭氧,O3,ppb,2019-02-27,41.7
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-02-27,68
3,萬里,5,氮氧化物,NOx,ppb,2019-02-27,8.88
3,萬里,6,一氧化氮,NO,ppb,2019-02-27,.97
3,萬里,7,二氧化氮,NO2,ppb,2019-02-27,7.87
3,萬里,10,風速,WIND_SPEED,m/sec,2019-02-27,1.77
3,萬里,14,溫度,AMB_TEMP,℃,2019-02-27,19.17
3,萬里,21,酸雨,PH_RAIN,pH,2019-02-27,0
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-02-27,0
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-02-27,0
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-02-27,24
3,萬里,38,相對濕度,RH,percent,2019-02-27,89.9
3,萬里,143,小時風速值,WS_HR,m/sec,2019-02-27,1.57
