SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,7,二氧化氮,NO2,ppb,2020-03-02,4.09
3,萬里,21,酸雨,PH_RAIN,pH,2020-03-02,3.46
10,淡水,2,一氧化碳,CO,ppm,2020-03-02,0.26
10,淡水,3,臭氧,O3,ppb,2020-03-02,45.3
14,古亭,31,甲烷,CH4,ppm,2020-03-02,1.883
17,桃園,2,一氧化碳,CO,ppm,2020-03-02,0.42
17,桃園,3,臭氧,O3,ppb,2020-03-02,33.4
19,觀音,6,一氧化氮,NO,ppb,2020-03-02,0.4
24,新竹,2,一氧化碳,CO,ppm,2020-03-02,0.32
24,新竹,3,臭氧,O3,ppb,2020-03-02,43.3
26,苗栗,3,臭氧,O3,ppb,2020-03-02,29.9
34,線西,3,臭氧,O3,ppb,2020-03-02,40.1
43,新營,31,甲烷,CH4,ppm,2020-03-02,1.9769999999999999
60,潮州,3,臭氧,O3,ppb,2020-03-02,34.8
72,埔里,14,溫度,AMB_TEMP,℃,2020-03-02,21.0
1,基隆,1,二氧化硫,SO2,ppb,2020-03-02,0.5
1,基隆,2,一氧化碳,CO,ppm,2020-03-02,0.28
1,基隆,3,臭氧,O3,ppb,2020-03-02,47.8
1,基隆,4,懸浮微粒,PM10,μg/m3,2020-03-02,27.0
1,基隆,5,氮氧化物,NOx,ppb,2020-03-02,4.99
1,基隆,6,一氧化氮,NO,ppb,2020-03-02,0.88
3,萬里,22,導電度,RAIN_COND,μmho/cm,2020-03-02,727.5
3,萬里,32,降雨強度,RAIN_INT,㎜,2020-03-02,0.5
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,13.0
3,萬里,38,相對濕度,RH,percent,2020-03-02,74.85
3,萬里,143,小時風速值,WS_HR,m/sec,2020-03-02,6.47
4,新店,1,二氧化硫,SO2,ppb,2020-03-02,1.3
4,新店,2,一氧化碳,CO,ppm,2020-03-02,0.31
4,新店,3,臭氧,O3,ppb,2020-03-02,44.6
4,新店,4,懸浮微粒,PM10,μg/m3,2020-03-02,17.0
4,新店,5,氮氧化物,NOx,ppb,2020-03-02,9.99
4,新店,6,一氧化氮,NO,ppb,2020-03-02,2.18
4,新店,7,二氧化氮,NO2,ppb,2020-03-02,7.82
4,新店,10,風速,WIND_SPEED,m/sec,2020-03-02,2.7
4,新店,14,溫度,AMB_TEMP,℃,2020-03-02,16.97
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,8.0
4,新店,38,相對濕度,RH,percent,2020-03-02,76.76
4,新店,143,小時風速值,WS_HR,m/sec,2020-03-02,2.03
5,土城,1,二氧化硫,SO2,ppb,2020-03-02,1.5
5,土城,2,一氧化碳,CO,ppm,2020-03-02,0.34
5,土城,3,臭氧,O3,ppb,2020-03-02,43.5
5,土城,4,懸浮微粒,PM10,μg/m3,2020-03-02,19.0
5,土城,5,氮氧化物,NOx,ppb,2020-03-02,8.53
5,土城,6,一氧化氮,NO,ppb,2020-03-02,0.25
5,土城,7,二氧化氮,NO2,ppb,2020-03-02,8.37
5,土城,8,總碳氫化合物,THC,ppm,2020-03-02,1.906
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2020-03-02,0.079
5,土城,10,風速,WIND_SPEED,m/sec,2020-03-02,2.01
5,土城,14,溫度,AMB_TEMP,℃,2020-03-02,17.12
5,土城,31,甲烷,CH4,ppm,2020-03-02,1.827
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,8.0
5,土城,38,相對濕度,RH,percent,2020-03-02,75.65
5,土城,143,小時風速值,WS_HR,m/sec,2020-03-02,1.02
6,板橋,1,二氧化硫,SO2,ppb,2020-03-02,1.7
6,板橋,2,一氧化碳,CO,ppm,2020-03-02,0.39
6,板橋,3,臭氧,O3,ppb,2020-03-02,35.6
6,板橋,4,懸浮微粒,PM10,μg/m3,2020-03-02,20.0
6,板橋,5,氮氧化物,NOx,ppb,2020-03-02,18.69
6,板橋,6,一氧化氮,NO,ppb,2020-03-02,3.11
6,板橋,7,二氧化氮,NO2,ppb,2020-03-02,15.57
6,板橋,8,總碳氫化合物,THC,ppm,2020-03-02,2.031
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2020-03-02,0.079
6,板橋,10,風速,WIND_SPEED,m/sec,2020-03-02,3.26
6,板橋,14,溫度,AMB_TEMP,℃,2020-03-02,17.15
6,板橋,21,酸雨,PH_RAIN,pH,2020-03-02,0.0
6,板橋,22,導電度,RAIN_COND,μmho/cm,2020-03-02,0.0
6,板橋,31,甲烷,CH4,ppm,2020-03-02,1.952
6,板橋,32,降雨強度,RAIN_INT,㎜,2020-03-02,0.0
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,10.0
6,板橋,38,相對濕度,RH,percent,2020-03-02,70.44
6,板橋,143,小時風速值,WS_HR,m/sec,2020-03-02,2.78
7,新莊,1,二氧化硫,SO2,ppb,2020-03-02,1.6
7,新莊,2,一氧化碳,CO,ppm,2020-03-02,0.36
7,新莊,3,臭氧,O3,ppb,2020-03-02,40.7
7,新莊,4,懸浮微粒,PM10,μg/m3,2020-03-02,22.0
7,新莊,5,氮氧化物,NOx,ppb,2020-03-02,12.71
7,新莊,6,一氧化氮,NO,ppb,2020-03-02,2.51
7,新莊,7,二氧化氮,NO2,ppb,2020-03-02,10.2
7,新莊,10,風速,WIND_SPEED,m/sec,2020-03-02,4.61
7,新莊,14,溫度,AMB_TEMP,℃,2020-03-02,17.58
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,10.0
7,新莊,38,相對濕度,RH,percent,2020-03-02,70.94
7,新莊,143,小時風速值,WS_HR,m/sec,2020-03-02,4.36
8,菜寮,1,二氧化硫,SO2,ppb,2020-03-02,1.2
8,菜寮,2,一氧化碳,CO,ppm,2020-03-02,0.39
8,菜寮,3,臭氧,O3,ppb,2020-03-02,34.9
8,菜寮,4,懸浮微粒,PM10,μg/m3,2020-03-02,19.0
8,菜寮,5,氮氧化物,NOx,ppb,2020-03-02,10.76
8,菜寮,6,一氧化氮,NO,ppb,2020-03-02,0.94
8,菜寮,7,二氧化氮,NO2,ppb,2020-03-02,9.78
8,菜寮,10,風速,WIND_SPEED,m/sec,2020-03-02,3.47
8,菜寮,14,溫度,AMB_TEMP,℃,2020-03-02,18.19
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,8.0
8,菜寮,38,相對濕度,RH,percent,2020-03-02,67.5
8,菜寮,143,小時風速值,WS_HR,m/sec,2020-03-02,3.1
9,林口,1,二氧化硫,SO2,ppb,2020-03-02,1.5
9,林口,2,一氧化碳,CO,ppm,2020-03-02,0.27
9,林口,3,臭氧,O3,ppb,2020-03-02,41.9
9,林口,4,懸浮微粒,PM10,μg/m3,2020-03-02,21.0
9,林口,5,氮氧化物,NOx,ppb,2020-03-02,9.51
9,林口,6,一氧化氮,NO,ppb,2020-03-02,2.82
9,林口,7,二氧化氮,NO2,ppb,2020-03-02,6.69
9,林口,10,風速,WIND_SPEED,m/sec,2020-03-02,4.53
9,林口,14,溫度,AMB_TEMP,℃,2020-03-02,15.45
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,10.0
9,林口,38,相對濕度,RH,percent,2020-03-02,81.4
9,林口,143,小時風速值,WS_HR,m/sec,2020-03-02,4.19
10,淡水,1,二氧化硫,SO2,ppb,2020-03-02,0.6
10,淡水,4,懸浮微粒,PM10,μg/m3,2020-03-02,14.0
10,淡水,5,氮氧化物,NOx,ppb,2020-03-02,3.45
10,淡水,6,一氧化氮,NO,ppb,2020-03-02,0.44
10,淡水,7,二氧化氮,NO2,ppb,2020-03-02,2.97
10,淡水,10,風速,WIND_SPEED,m/sec,2020-03-02,2.63
10,淡水,14,溫度,AMB_TEMP,℃,2020-03-02,16.54
10,淡水,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,7.0
10,淡水,38,相對濕度,RH,percent,2020-03-02,82.79
11,士林,1,二氧化硫,SO2,ppb,2020-03-02,1.0
11,士林,2,一氧化碳,CO,ppm,2020-03-02,0.29
11,士林,3,臭氧,O3,ppb,2020-03-02,48.5
11,士林,4,懸浮微粒,PM10,μg/m3,2020-03-02,14.0
11,士林,5,氮氧化物,NOx,ppb,2020-03-02,6.86
11,士林,6,一氧化氮,NO,ppb,2020-03-02,1.59
11,士林,7,二氧化氮,NO2,ppb,2020-03-02,5.26
11,士林,10,風速,WIND_SPEED,m/sec,2020-03-02,2.76
11,士林,14,溫度,AMB_TEMP,℃,2020-03-02,18.5
11,士林,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,6.0
11,士林,38,相對濕度,RH,percent,2020-03-02,67.54
11,士林,143,小時風速值,WS_HR,m/sec,2020-03-02,2.21
12,中山,1,二氧化硫,SO2,ppb,2020-03-02,1.3
12,中山,2,一氧化碳,CO,ppm,2020-03-02,0.48
12,中山,3,臭氧,O3,ppb,2020-03-02,33.6
12,中山,4,懸浮微粒,PM10,μg/m3,2020-03-02,20.0
12,中山,5,氮氧化物,NOx,ppb,2020-03-02,22.39
12,中山,6,一氧化氮,NO,ppb,2020-03-02,4.79
12,中山,7,二氧化氮,NO2,ppb,2020-03-02,17.6
12,中山,8,總碳氫化合物,THC,ppm,2020-03-02,1.9380000000000002
12,中山,9,非甲烷碳氫化合物,NMHC,ppm,2020-03-02,0.10300000000000001
12,中山,10,風速,WIND_SPEED,m/sec,2020-03-02,2.69
12,中山,14,溫度,AMB_TEMP,℃,2020-03-02,17.79
12,中山,31,甲烷,CH4,ppm,2020-03-02,1.835
12,中山,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,9.0
12,中山,38,相對濕度,RH,percent,2020-03-02,72.1
12,中山,143,小時風速值,WS_HR,m/sec,2020-03-02,2.21
13,萬華,1,二氧化硫,SO2,ppb,2020-03-02,0.8
13,萬華,2,一氧化碳,CO,ppm,2020-03-02,0.36
13,萬華,3,臭氧,O3,ppb,2020-03-02,36.7
13,萬華,4,懸浮微粒,PM10,μg/m3,2020-03-02,20.0
13,萬華,5,氮氧化物,NOx,ppb,2020-03-02,17.71
13,萬華,6,一氧化氮,NO,ppb,2020-03-02,2.45
13,萬華,7,二氧化氮,NO2,ppb,2020-03-02,15.26
13,萬華,10,風速,WIND_SPEED,m/sec,2020-03-02,2.85
13,萬華,14,溫度,AMB_TEMP,℃,2020-03-02,17.47
13,萬華,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,9.0
13,萬華,38,相對濕度,RH,percent,2020-03-02,70.71
13,萬華,143,小時風速值,WS_HR,m/sec,2020-03-02,2.56
14,古亭,1,二氧化硫,SO2,ppb,2020-03-02,1.0
14,古亭,2,一氧化碳,CO,ppm,2020-03-02,0.32
14,古亭,3,臭氧,O3,ppb,2020-03-02,41.9
14,古亭,4,懸浮微粒,PM10,μg/m3,2020-03-02,19.0
14,古亭,5,氮氧化物,NOx,ppb,2020-03-02,10.38
14,古亭,6,一氧化氮,NO,ppb,2020-03-02,1.18
14,古亭,7,二氧化氮,NO2,ppb,2020-03-02,9.19
14,古亭,8,總碳氫化合物,THC,ppm,2020-03-02,1.955
14,古亭,9,非甲烷碳氫化合物,NMHC,ppm,2020-03-02,0.152
14,古亭,10,風速,WIND_SPEED,m/sec,2020-03-02,1.91
14,古亭,14,溫度,AMB_TEMP,℃,2020-03-02,16.95
14,古亭,33,細懸浮微粒,PM2.5,μg/m3,2020-03-02,8.0
14,古亭,38,相對濕度,RH,percent,2020-03-02,76.77
14,古亭,143,小時風速值,WS_HR,m/sec,2020-03-02,1.08
15,松山,1,二氧化硫,SO2,ppb,2020-03-02,1.6
15,松山,2,一氧化碳,CO,ppm,2020-03-02,0.32
15,松山,3,臭氧,O3,ppb,2020-03-02,34.3
15,松山,4,懸浮微粒,PM10,μg/m3,2020-03-02,24.0
15,松山,5,氮氧化物,NOx,ppb,2020-03-02,18.33
15,松山,6,一氧化氮,NO,ppb,2020-03-02,3.08
15,松山,7,二氧化氮,NO2,ppb,2020-03-02,15.25
15,松山,8,總碳氫化合物,THC,ppm,2020-03-02,1.8419999999999999
