SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-07-27,2
1,基隆,2,一氧化碳,CO,ppm,2019-07-27,.25
1,基隆,3,臭氧,O3,ppb,2019-07-27,21.2
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-07-27,26
1,基隆,5,氮氧化物,NOx,ppb,2019-07-27,10.82
1,基隆,6,一氧化氮,NO,ppb,2019-07-27,1.66
1,基隆,7,二氧化氮,NO2,ppb,2019-07-27,9.16
1,基隆,8,總碳氫化合物,THC,ppm,2019-07-27,1.795
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-07-27,.083
1,基隆,10,風速,WIND_SPEED,m/sec,2019-07-27,1.19
1,基隆,14,溫度,AMB_TEMP,℃,2019-07-27,30.61
1,基隆,31,甲烷,CH4,ppm,2019-07-27,1.713
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-07-27,12
1,基隆,38,相對濕度,RH,percent,2019-07-27,73.43
1,基隆,143,小時風速值,WS_HR,m/sec,2019-07-27,.78
2,汐止,1,二氧化硫,SO2,ppb,2019-07-27,2.4
2,汐止,2,一氧化碳,CO,ppm,2019-07-27,.41
2,汐止,3,臭氧,O3,ppb,2019-07-27,26.7
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-07-27,30
2,汐止,5,氮氧化物,NOx,ppb,2019-07-27,21.82
2,汐止,6,一氧化氮,NO,ppb,2019-07-27,5
2,汐止,7,二氧化氮,NO2,ppb,2019-07-27,16.82
2,汐止,10,風速,WIND_SPEED,m/sec,2019-07-27,1.35
2,汐止,14,溫度,AMB_TEMP,℃,2019-07-27,31.1
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-07-27,18
2,汐止,38,相對濕度,RH,percent,2019-07-27,73.23
2,汐止,143,小時風速值,WS_HR,m/sec,2019-07-27,.97
4,新店,1,二氧化硫,SO2,ppb,2019-07-27,1.9
4,新店,2,一氧化碳,CO,ppm,2019-07-27,.3
4,新店,3,臭氧,O3,ppb,2019-07-27,28.2
4,新店,4,懸浮微粒,PM10,μg/m3,2019-07-27,23
4,新店,5,氮氧化物,NOx,ppb,2019-07-27,11.3
4,新店,6,一氧化氮,NO,ppb,2019-07-27,1.96
4,新店,7,二氧化氮,NO2,ppb,2019-07-27,9.34
4,新店,10,風速,WIND_SPEED,m/sec,2019-07-27,1.78
4,新店,14,溫度,AMB_TEMP,℃,2019-07-27,29.29
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2019-07-27,11
4,新店,38,相對濕度,RH,percent,2019-07-27,72.21
4,新店,143,小時風速值,WS_HR,m/sec,2019-07-27,1.33
