SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-09-25,1.6
1,基隆,2,一氧化碳,CO,ppm,2019-09-25,.38
1,基隆,3,臭氧,O3,ppb,2019-09-25,38.8
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-09-25,25
1,基隆,5,氮氧化物,NOx,ppb,2019-09-25,16.79
1,基隆,6,一氧化氮,NO,ppb,2019-09-25,5.85
1,基隆,7,二氧化氮,NO2,ppb,2019-09-25,10.92
1,基隆,8,總碳氫化合物,THC,ppm,2019-09-25,1.832
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-09-25,.082
1,基隆,10,風速,WIND_SPEED,m/sec,2019-09-25,.98
1,基隆,14,溫度,AMB_TEMP,℃,2019-09-25,24.78
1,基隆,31,甲烷,CH4,ppm,2019-09-25,1.75
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,9
1,基隆,38,相對濕度,RH,percent,2019-09-25,69.45
1,基隆,143,小時風速值,WS_HR,m/sec,2019-09-25,.61
2,汐止,1,二氧化硫,SO2,ppb,2019-09-25,2.8
2,汐止,2,一氧化碳,CO,ppm,2019-09-25,.31
2,汐止,3,臭氧,O3,ppb,2019-09-25,35.2
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-09-25,24
2,汐止,5,氮氧化物,NOx,ppb,2019-09-25,20.41
2,汐止,6,一氧化氮,NO,ppb,2019-09-25,3.82
2,汐止,7,二氧化氮,NO2,ppb,2019-09-25,16.6
2,汐止,10,風速,WIND_SPEED,m/sec,2019-09-25,2.37
2,汐止,14,溫度,AMB_TEMP,℃,2019-09-25,25.4
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,10
2,汐止,38,相對濕度,RH,percent,2019-09-25,67.25
2,汐止,143,小時風速值,WS_HR,m/sec,2019-09-25,2.18
3,萬里,1,二氧化硫,SO2,ppb,2019-09-25,2.7
3,萬里,2,一氧化碳,CO,ppm,2019-09-25,.15
3,萬里,3,臭氧,O3,ppb,2019-09-25,59.6
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-09-25,33
3,萬里,5,氮氧化物,NOx,ppb,2019-09-25,3.16
3,萬里,6,一氧化氮,NO,ppb,2019-09-25,.77
3,萬里,7,二氧化氮,NO2,ppb,2019-09-25,2.38
3,萬里,10,風速,WIND_SPEED,m/sec,2019-09-25,5.14
3,萬里,14,溫度,AMB_TEMP,℃,2019-09-25,25.85
3,萬里,21,酸雨,PH_RAIN,pH,2019-09-25,0
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-09-25,0
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-09-25,0
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,9
3,萬里,38,相對濕度,RH,percent,2019-09-25,64.54
3,萬里,143,小時風速值,WS_HR,m/sec,2019-09-25,5.12
4,新店,1,二氧化硫,SO2,ppb,2019-09-25,1.7
4,新店,2,一氧化碳,CO,ppm,2019-09-25,.28
4,新店,3,臭氧,O3,ppb,2019-09-25,42.3
4,新店,4,懸浮微粒,PM10,μg/m3,2019-09-25,20
4,新店,5,氮氧化物,NOx,ppb,2019-09-25,10.12
4,新店,6,一氧化氮,NO,ppb,2019-09-25,1.29
4,新店,7,二氧化氮,NO2,ppb,2019-09-25,8.81
4,新店,10,風速,WIND_SPEED,m/sec,2019-09-25,1.93
4,新店,14,溫度,AMB_TEMP,℃,2019-09-25,25.36
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,9
4,新店,38,相對濕度,RH,percent,2019-09-25,63.36
4,新店,143,小時風速值,WS_HR,m/sec,2019-09-25,1.47
5,土城,1,二氧化硫,SO2,ppb,2019-09-25,2.3
5,土城,2,一氧化碳,CO,ppm,2019-09-25,.26
5,土城,3,臭氧,O3,ppb,2019-09-25,45.4
5,土城,4,懸浮微粒,PM10,μg/m3,2019-09-25,22
5,土城,5,氮氧化物,NOx,ppb,2019-09-25,8.22
5,土城,6,一氧化氮,NO,ppb,2019-09-25,1.45
5,土城,7,二氧化氮,NO2,ppb,2019-09-25,6.77
5,土城,8,總碳氫化合物,THC,ppm,2019-09-25,1.882
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2019-09-25,.085
5,土城,10,風速,WIND_SPEED,m/sec,2019-09-25,1.49
5,土城,14,溫度,AMB_TEMP,℃,2019-09-25,25.58
5,土城,31,甲烷,CH4,ppm,2019-09-25,1.797
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,16
5,土城,38,相對濕度,RH,percent,2019-09-25,62.6
5,土城,143,小時風速值,WS_HR,m/sec,2019-09-25,.59
6,板橋,1,二氧化硫,SO2,ppb,2019-09-25,x
6,板橋,2,一氧化碳,CO,ppm,2019-09-25,.35
6,板橋,3,臭氧,O3,ppb,2019-09-25,39.5
6,板橋,4,懸浮微粒,PM10,μg/m3,2019-09-25,23
6,板橋,5,氮氧化物,NOx,ppb,2019-09-25,19.95
6,板橋,6,一氧化氮,NO,ppb,2019-09-25,2.75
6,板橋,7,二氧化氮,NO2,ppb,2019-09-25,17.19
6,板橋,8,總碳氫化合物,THC,ppm,2019-09-25,1.971
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2019-09-25,.111
6,板橋,10,風速,WIND_SPEED,m/sec,2019-09-25,2.59
6,板橋,14,溫度,AMB_TEMP,℃,2019-09-25,25.39
6,板橋,21,酸雨,PH_RAIN,pH,2019-09-25,0
6,板橋,22,導電度,RAIN_COND,μmho/cm,2019-09-25,0
6,板橋,31,甲烷,CH4,ppm,2019-09-25,1.86
6,板橋,32,降雨強度,RAIN_INT,㎜,2019-09-25,0
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,11
6,板橋,38,相對濕度,RH,percent,2019-09-25,59.97
6,板橋,143,小時風速值,WS_HR,m/sec,2019-09-25,2.21
7,新莊,1,二氧化硫,SO2,ppb,2019-09-25,2.3
7,新莊,2,一氧化碳,CO,ppm,2019-09-25,.32
7,新莊,3,臭氧,O3,ppb,2019-09-25,44.5
7,新莊,4,懸浮微粒,PM10,μg/m3,2019-09-25,24
7,新莊,5,氮氧化物,NOx,ppb,2019-09-25,12.59
7,新莊,6,一氧化氮,NO,ppb,2019-09-25,1.49
7,新莊,7,二氧化氮,NO2,ppb,2019-09-25,11.1
7,新莊,10,風速,WIND_SPEED,m/sec,2019-09-25,4.34
7,新莊,14,溫度,AMB_TEMP,℃,2019-09-25,26.37
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,13
7,新莊,38,相對濕度,RH,percent,2019-09-25,53.82
7,新莊,143,小時風速值,WS_HR,m/sec,2019-09-25,4.12
8,菜寮,1,二氧化硫,SO2,ppb,2019-09-25,.9
8,菜寮,2,一氧化碳,CO,ppm,2019-09-25,.33
8,菜寮,3,臭氧,O3,ppb,2019-09-25,41.3
8,菜寮,4,懸浮微粒,PM10,μg/m3,2019-09-25,21
8,菜寮,5,氮氧化物,NOx,ppb,2019-09-25,11.36
8,菜寮,6,一氧化氮,NO,ppb,2019-09-25,1.48
8,菜寮,7,二氧化氮,NO2,ppb,2019-09-25,9.88
8,菜寮,10,風速,WIND_SPEED,m/sec,2019-09-25,2.99
8,菜寮,14,溫度,AMB_TEMP,℃,2019-09-25,25.94
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,10
8,菜寮,38,相對濕度,RH,percent,2019-09-25,58.54
8,菜寮,143,小時風速值,WS_HR,m/sec,2019-09-25,2.77
9,林口,1,二氧化硫,SO2,ppb,2019-09-25,2.4
9,林口,2,一氧化碳,CO,ppm,2019-09-25,.22
9,林口,3,臭氧,O3,ppb,2019-09-25,44.6
9,林口,4,懸浮微粒,PM10,μg/m3,2019-09-25,23
9,林口,5,氮氧化物,NOx,ppb,2019-09-25,13.4
9,林口,6,一氧化氮,NO,ppb,2019-09-25,2.63
9,林口,7,二氧化氮,NO2,ppb,2019-09-25,10.77
9,林口,10,風速,WIND_SPEED,m/sec,2019-09-25,3.33
9,林口,14,溫度,AMB_TEMP,℃,2019-09-25,24.26
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,11
9,林口,38,相對濕度,RH,percent,2019-09-25,64.2
9,林口,143,小時風速值,WS_HR,m/sec,2019-09-25,3.13
10,淡水,1,二氧化硫,SO2,ppb,2019-09-25,1.2
10,淡水,2,一氧化碳,CO,ppm,2019-09-25,.29
10,淡水,3,臭氧,O3,ppb,2019-09-25,38.2
10,淡水,4,懸浮微粒,PM10,μg/m3,2019-09-25,20
10,淡水,5,氮氧化物,NOx,ppb,2019-09-25,10.17
10,淡水,6,一氧化氮,NO,ppb,2019-09-25,.97
10,淡水,7,二氧化氮,NO2,ppb,2019-09-25,9.21
10,淡水,10,風速,WIND_SPEED,m/sec,2019-09-25,1.35
10,淡水,14,溫度,AMB_TEMP,℃,2019-09-25,24.34
10,淡水,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,10
10,淡水,38,相對濕度,RH,percent,2019-09-25,76.19
11,士林,1,二氧化硫,SO2,ppb,2019-09-25,1.6
11,士林,2,一氧化碳,CO,ppm,2019-09-25,.19
11,士林,3,臭氧,O3,ppb,2019-09-25,52.9
11,士林,4,懸浮微粒,PM10,μg/m3,2019-09-25,20
11,士林,5,氮氧化物,NOx,ppb,2019-09-25,6.7
11,士林,6,一氧化氮,NO,ppb,2019-09-25,1.63
11,士林,7,二氧化氮,NO2,ppb,2019-09-25,5.07
11,士林,10,風速,WIND_SPEED,m/sec,2019-09-25,2.52
11,士林,14,溫度,AMB_TEMP,℃,2019-09-25,26.33
11,士林,33,細懸浮微粒,PM2.5,μg/m3,2019-09-25,6
11,士林,38,相對濕度,RH,percent,2019-09-25,61.49
