SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-02-14,1.8
1,基隆,2,一氧化碳,CO,ppm,2019-02-14,0.36
1,基隆,3,臭氧,O3,ppb,2019-02-14,31.0
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-02-14,26.0
1,基隆,5,氮氧化物,NOx,ppb,2019-02-14,14.26
1,基隆,6,一氧化氮,NO,ppb,2019-02-14,1.37
1,基隆,7,二氧化氮,NO2,ppb,2019-02-14,12.88
1,基隆,8,總碳氫化合物,THC,ppm,2019-02-14,2.042
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-02-14,0.076
1,基隆,10,風速,WIND_SPEED,m/sec,2019-02-14,0.7
1,基隆,14,溫度,AMB_TEMP,℃,2019-02-14,17.58
1,基隆,31,甲烷,CH4,ppm,2019-02-14,1.966
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-02-14,8.0
1,基隆,38,相對濕度,RH,percent,2019-02-14,98.62
1,基隆,143,小時風速值,WS_HR,m/sec,2019-02-14,0.39
2,汐止,1,二氧化硫,SO2,ppb,2019-02-14,1.0
2,汐止,2,一氧化碳,CO,ppm,2019-02-14,0.39
2,汐止,3,臭氧,O3,ppb,2019-02-14,30.5
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-02-14,18.0
2,汐止,5,氮氧化物,NOx,ppb,2019-02-14,17.93
2,汐止,6,一氧化氮,NO,ppb,2019-02-14,2.36
2,汐止,7,二氧化氮,NO2,ppb,2019-02-14,15.57
2,汐止,10,風速,WIND_SPEED,m/sec,2019-02-14,1.54
2,汐止,14,溫度,AMB_TEMP,℃,2019-02-14,18.28
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-02-14,8.0
2,汐止,38,相對濕度,RH,percent,2019-02-14,94.68
2,汐止,143,小時風速值,WS_HR,m/sec,2019-02-14,1.36
3,萬里,1,二氧化硫,SO2,ppb,2019-02-14,1.6
3,萬里,2,一氧化碳,CO,ppm,2019-02-14,0.27
3,萬里,3,臭氧,O3,ppb,2019-02-14,45.5
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-02-14,37.0
3,萬里,5,氮氧化物,NOx,ppb,2019-02-14,5.38
3,萬里,6,一氧化氮,NO,ppb,2019-02-14,0.94
3,萬里,7,二氧化氮,NO2,ppb,2019-02-14,4.41
3,萬里,10,風速,WIND_SPEED,m/sec,2019-02-14,3.1
3,萬里,14,溫度,AMB_TEMP,℃,2019-02-14,18.63
3,萬里,21,酸雨,PH_RAIN,pH,2019-02-14,3.52
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-02-14,237.4
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-02-14,0.58
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-02-14,10.0
3,萬里,38,相對濕度,RH,percent,2019-02-14,96.27
3,萬里,143,小時風速值,WS_HR,m/sec,2019-02-14,2.84
4,新店,1,二氧化硫,SO2,ppb,2019-02-14,1.7
4,新店,2,一氧化碳,CO,ppm,2019-02-14,0.43
4,新店,3,臭氧,O3,ppb,2019-02-14,28.2
