,ds,y
266,2019/9/25,5679
267,2019/9/26,5659
268,2019/9/27,6244
269,2019/9/28,4852
270,2019/9/29,4315
271,2019/9/30,7657
272,2019/10/1,4532
273,2019/10/2,4077
274,2019/10/3,3807
275,2019/10/4,4421
276,2019/10/5,4561
277,2019/10/6,3789
278,2019/10/7,3702
279,2019/10/8,4351
280,2019/10/9,4701
281,2019/10/10,4405
282,2019/10/11,4490
283,2019/10/12,4742
284,2019/10/13,5432
285,2019/10/14,5091
286,2019/10/15,5085
287,2019/10/16,3984
288,2019/10/17,4582
289,2019/10/18,4810
290,2019/10/19,4788
291,2019/10/20,4420
292,2019/10/21,4274
293,2019/10/22,3803
294,2019/10/23,3779
295,2019/10/24,3829
296,2019/10/25,4120
297,2019/10/26,3101
298,2019/10/27,2762
299,2019/10/28,4053
300,2019/10/29,4616
301,2019/10/30,3666
302,2019/10/31,3639
303,2019/11/1,3930
304,2019/11/2,3378
305,2019/11/3,3420
306,2019/11/4,3455
307,2019/11/5,3769
308,2019/11/6,3344
309,2019/11/7,3752
310,2019/11/8,4741
311,2019/11/9,3709
312,2019/11/10,3032
313,2019/11/11,3607
314,2019/11/12,3592
315,2019/11/13,3300
316,2019/11/14,3823
317,2019/11/15,3150
318,2019/11/16,3200
319,2019/11/17,2590
320,2019/11/18,3037
321,2019/11/19,3337
322,2019/11/20,3347
323,2019/11/21,2996
324,2019/11/22,2970
325,2019/11/23,2695
326,2019/11/24,3190
327,2019/11/25,2969
328,2019/11/26,3312
329,2019/11/27,3565
330,2019/11/28,3418
331,2019/11/29,3392
332,2019/11/30,3004
333,2019/12/1,3425
334,2019/12/2,3462
335,2019/12/3,3150
336,2019/12/4,3053
337,2019/12/5,3022
338,2019/12/6,3414
339,2019/12/7,2901
340,2019/12/8,2956
341,2019/12/9,3205
342,2019/12/10,3146
343,2019/12/11,3202
344,2019/12/12,2998
345,2019/12/13,3154
346,2019/12/14,3035
347,2019/12/15,2812
348,2019/12/16,3039
349,2019/12/17,3189
350,2019/12/18,3254
351,2019/12/19,3107
352,2019/12/20,3146
353,2019/12/21,2815
354,2019/12/22,2747
355,2019/12/23,3330
356,2019/12/24,3284
357,2019/12/25,3606
358,2019/12/26,3263
359,2019/12/27,3206
360,2019/12/28,3153
361,2019/12/29,2899
362,2019/12/30,3143
363,2019/12/31,3108
364,2020/1/1,2790
365,2020/1/2,3080
366,2020/1/3,3383
367,2020/1/4,3636
368,2020/1/5,2695
369,2020/1/6,3010
370,2020/1/7,3104
371,2020/1/8,3235
372,2020/1/9,3131
373,2020/1/10,3298
374,2020/1/11,3851
375,2020/1/12,3091
376,2020/1/13,3157
377,2020/1/14,3412
378,2020/1/15,3386
379,2020/1/16,3005
380,2020/1/17,3399
381,2020/1/18,3159
382,2020/1/19,3335
383,2020/1/20,3183
384,2020/1/21,3259
385,2020/1/22,3886
386,2020/1/23,3344
387,2020/1/24,3483
388,2020/1/25,3551
389,2020/1/26,3528
390,2020/1/27,3704
391,2020/1/28,3653
392,2020/1/29,3303
393,2020/1/30,2991
394,2020/1/31,3361
395,2020/2/1,3890
396,2020/2/2,3247
397,2020/2/3,4088
398,2020/2/4,3302
399,2020/2/5,3643
400,2020/2/6,3347
401,2020/2/7,3767
402,2020/2/8,3660
