date,year,month,day,Day of the week,work
2020/10/21,2020,10,21,3,TRUE
2020/10/22,2020,10,22,4,TRUE
2020/10/23,2020,10,23,5,TRUE
2020/10/24,2020,10,24,6,FALSE
2020/10/25,2020,10,25,7,FALSE
2020/10/26,2020,10,26,1,TRUE
2020/10/27,2020,10,27,2,TRUE
2020/10/28,2020,10,28,3,TRUE
2020/10/29,2020,10,29,4,TRUE
2020/10/30,2020,10,30,5,TRUE
2020/10/31,2020,10,31,6,FALSE
2020/11/1,2020,11,1,7,FALSE
2020/11/2,2020,11,2,1,TRUE
2020/11/3,2020,11,3,2,TRUE
2020/11/4,2020,11,4,3,TRUE
2020/11/5,2020,11,5,4,TRUE
2020/11/6,2020,11,6,5,TRUE
2020/11/7,2020,11,7,6,FALSE
2020/11/8,2020,11,8,7,FALSE
2020/11/9,2020,11,9,1,TRUE
2020/11/10,2020,11,10,2,TRUE
2020/11/11,2020,11,11,3,TRUE
2020/11/12,2020,11,12,4,TRUE
2020/11/13,2020,11,13,5,TRUE
2020/11/14,2020,11,14,6,FALSE
2020/11/15,2020,11,15,7,FALSE
2020/11/16,2020,11,16,1,TRUE
2020/11/17,2020,11,17,2,TRUE
2020/11/18,2020,11,18,3,TRUE
2020/11/19,2020,11,19,4,TRUE
2020/11/20,2020,11,20,5,TRUE
2020/11/21,2020,11,21,6,FALSE
2020/11/22,2020,11,22,7,FALSE
2020/11/23,2020,11,23,1,TRUE
2020/11/24,2020,11,24,2,TRUE
2020/11/25,2020,11,25,3,TRUE
2020/11/26,2020,11,26,4,TRUE
2020/11/27,2020,11,27,5,TRUE
2020/11/28,2020,11,28,6,FALSE
2020/11/29,2020,11,29,7,FALSE
2020/11/30,2020,11,30,1,TRUE
2020/12/1,2020,12,1,2,TRUE
2020/12/2,2020,12,2,3,TRUE
2020/12/3,2020,12,3,4,TRUE
2020/12/4,2020,12,4,5,TRUE
2020/12/5,2020,12,5,6,FALSE
2020/12/6,2020,12,6,7,FALSE
2020/12/7,2020,12,7,1,TRUE
2020/12/8,2020,12,8,2,TRUE
2020/12/9,2020,12,9,3,TRUE
2020/12/10,2020,12,10,4,TRUE
2020/12/11,2020,12,11,5,TRUE
2020/12/12,2020,12,12,6,FALSE
2020/12/13,2020,12,13,7,FALSE
2020/12/14,2020,12,14,1,TRUE
2020/12/15,2020,12,15,2,TRUE
2020/12/16,2020,12,16,3,TRUE
2020/12/17,2020,12,17,4,TRUE
2020/12/18,2020,12,18,5,TRUE
2020/12/19,2020,12,19,6,FALSE
2020/12/20,2020,12,20,7,FALSE
2020/12/21,2020,12,21,1,TRUE
2020/12/22,2020,12,22,2,TRUE
2020/12/23,2020,12,23,3,TRUE
2020/12/24,2020,12,24,4,TRUE
2020/12/25,2020,12,25,5,TRUE
2020/12/26,2020,12,26,6,FALSE
2020/12/27,2020,12,27,7,FALSE
2020/12/28,2020,12,28,1,TRUE
2020/12/29,2020,12,29,2,TRUE
2020/12/30,2020,12,30,3,TRUE
2020/12/31,2020,12,31,4,TRUE
2021/1/1,2021,1,1,5,TRUE
2021/1/2,2021,1,2,6,FALSE
2021/1/3,2021,1,3,7,FALSE
2021/1/4,2021,1,4,1,TRUE
2021/1/5,2021,1,5,2,TRUE
2021/1/6,2021,1,6,3,TRUE
2021/1/7,2021,1,7,4,TRUE
2021/1/8,2021,1,8,5,TRUE
2021/1/9,2021,1,9,6,FALSE
2021/1/10,2021,1,10,7,FALSE
2021/1/11,2021,1,11,1,TRUE
2021/1/12,2021,1,12,2,TRUE
2021/1/13,2021,1,13,3,TRUE
2021/1/14,2021,1,14,4,TRUE
2021/1/15,2021,1,15,5,TRUE
2021/1/16,2021,1,16,6,FALSE
2021/1/17,2021,1,17,7,FALSE
2021/1/18,2021,1,18,1,TRUE
2021/1/19,2021,1,19,2,TRUE
2021/1/20,2021,1,20,3,TRUE
2021/1/21,2021,1,21,4,TRUE
2021/1/22,2021,1,22,5,TRUE
2021/1/23,2021,1,23,6,FALSE
2021/1/24,2021,1,24,7,FALSE
2021/1/25,2021,1,25,1,TRUE
2021/1/26,2021,1,26,2,TRUE
2021/1/27,2021,1,27,3,TRUE
2021/1/28,2021,1,28,4,TRUE
2021/1/29,2021,1,29,5,TRUE
2021/1/30,2021,1,30,6,FALSE
2021/1/31,2021,1,31,7,FALSE
