date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%)
2019/4/25,2019,4,25,4,TRUE,2290,6.91
2019/4/26,2019,4,26,5,TRUE,2252,6.89
2019/4/27,2019,4,27,6,FALSE,1993,7.28
2019/4/28,2019,4,28,7,FALSE,1740,6.46
2019/4/29,2019,4,29,1,TRUE,2211,6.73
2019/4/30,2019,4,30,2,TRUE,2210,6.68
2019/5/1,2019,5,1,3,TRUE,3093,11.53
2019/5/2,2019,5,2,4,TRUE,2683,9.35
2019/5/3,2019,5,3,5,TRUE,3316,11.71
2019/5/4,2019,5,4,6,FALSE,3119,12.08
2019/5/5,2019,5,5,7,FALSE,2255,8.9
2019/5/6,2019,5,6,1,TRUE,2404,8.4
2019/5/7,2019,5,7,2,TRUE,2609,9.16
2019/5/8,2019,5,8,3,TRUE,2140,7.39
2019/5/9,2019,5,9,4,TRUE,2212,7.57
2019/5/10,2019,5,10,5,TRUE,2608,8.82
2019/5/11,2019,5,11,6,FALSE,2837,10.68
2019/5/12,2019,5,12,7,FALSE,2709,10.23
2019/5/13,2019,5,13,1,TRUE,2311,7.19
2019/5/14,2019,5,14,2,TRUE,2131,6.43
2019/5/15,2019,5,15,3,TRUE,2253,6.85
2019/5/16,2019,5,16,4,TRUE,2432,7.3
2019/5/17,2019,5,17,5,TRUE,2546,7.88
2019/5/18,2019,5,18,6,FALSE,2591,8.78
2019/5/19,2019,5,19,7,FALSE,2127,7.34
2019/5/20,2019,5,20,1,TRUE,3347,10.39
2019/5/21,2019,5,21,2,TRUE,3887,12.97
2019/5/22,2019,5,22,3,TRUE,4554,15.11
2019/5/23,2019,5,23,4,TRUE,4712,15.48
2019/5/24,2019,5,24,5,TRUE,3575,11.33
2019/5/25,2019,5,25,6,FALSE,3984,14.33
2019/5/26,2019,5,26,7,FALSE,3789,13.58
2019/5/27,2019,5,27,1,TRUE,2706,8.32
2019/5/28,2019,5,28,2,TRUE,3169,9.83
2019/5/29,2019,5,29,3,TRUE,5905,19.48
2019/5/30,2019,5,30,4,TRUE,4367,13.6
2019/5/31,2019,5,31,5,TRUE,4515,13.69
2019/6/1,2019,6,1,6,FALSE,4042,14.01
2019/6/2,2019,6,2,7,FALSE,3632,12.59
2019/6/3,2019,6,3,1,TRUE,4540,13.78
2019/6/4,2019,6,4,2,TRUE,4546,14.03
2019/6/5,2019,6,5,3,TRUE,4029,11.88
2019/6/6,2019,6,6,4,TRUE,3785,10.85
2019/6/7,2019,6,7,5,FALSE,4702,15.64
2019/6/8,2019,6,8,6,FALSE,3310,11.2
2019/6/9,2019,6,9,7,FALSE,4082,13.88
2019/6/10,2019,6,10,1,TRUE,4147,12.43
2019/6/11,2019,6,11,2,TRUE,4215,13.12
2019/6/12,2019,6,12,3,TRUE,5418,17.42
2019/6/13,2019,6,13,4,TRUE,3593,11.34
2019/6/14,2019,6,14,5,TRUE,4895,15.85
2019/6/15,2019,6,15,6,FALSE,5436,19.63
2019/6/16,2019,6,16,7,FALSE,4962,17.93
2019/6/17,2019,6,17,1,TRUE,3765,11.17
2019/6/18,2019,6,18,2,TRUE,3257,9.38
2019/6/19,2019,6,19,3,TRUE,3657,10.27
2019/6/20,2019,6,20,4,TRUE,3703,10.3
2019/6/21,2019,6,21,5,TRUE,4080,11.36
2019/6/22,2019,6,22,6,FALSE,4190,13.55
2019/6/23,2019,6,23,7,FALSE,4744,16.76
2019/6/24,2019,6,24,1,TRUE,5416,17.09
2019/6/25,2019,6,25,2,TRUE,3514,10.56
2019/6/26,2019,6,26,3,TRUE,4112,12.53
2019/6/27,2019,6,27,4,TRUE,4175,12.48
2019/6/28,2019,6,28,5,TRUE,3567,10.2
2019/6/29,2019,6,29,6,FALSE,3602,11.79
2019/6/30,2019,6,30,7,FALSE,3439,11.43
2019/7/1,2019,7,1,1,TRUE,3634,10.32
2019/7/2,2019,7,2,2,TRUE,4883,13.93
2019/7/3,2019,7,3,3,TRUE,4753,14
2019/7/4,2019,7,4,4,TRUE,4895,14.33
2019/7/5,2019,7,5,5,TRUE,5714,16.88
2019/7/6,2019,7,6,6,FALSE,4435,14.78
2019/7/7,2019,7,7,7,FALSE,4313,14.39
2019/7/8,2019,7,8,1,TRUE,4455,12.67
2019/7/9,2019,7,9,2,TRUE,4166,11.94
2019/7/10,2019,7,10,3,TRUE,3897,11.05
2019/7/11,2019,7,11,4,TRUE,4155,12.02
2019/7/12,2019,7,12,5,TRUE,4332,12.16
2019/7/13,2019,7,13,6,FALSE,5138,16.39
2019/7/14,2019,7,14,7,FALSE,3257,10.53
2019/7/15,2019,7,15,1,TRUE,3637,10.03
2019/7/16,2019,7,16,2,TRUE,3224,8.73
2019/7/17,2019,7,17,3,TRUE,3770,10.08
2019/7/18,2019,7,18,4,TRUE,4080,11.36
2019/7/19,2019,7,19,5,TRUE,4510,12.71
2019/7/20,2019,7,20,6,FALSE,6218,20.31
2019/7/21,2019,7,21,7,FALSE,5390,18.2
2019/7/22,2019,7,22,1,TRUE,5758,16.7
2019/7/23,2019,7,23,2,TRUE,4766,13.62
2019/7/24,2019,7,24,3,TRUE,5038,14.16
2019/7/25,2019,7,25,4,TRUE,4636,12.89
2019/7/26,2019,7,26,5,TRUE,3897,10.67
2019/7/27,2019,7,27,6,FALSE,5346,17.13
2019/7/28,2019,7,28,7,FALSE,5714,19.27
2019/7/29,2019,7,29,1,TRUE,4924,13.85
2019/7/30,2019,7,30,2,TRUE,4067,11.1
2019/7/31,2019,7,31,3,TRUE,3729,10.13
2019/8/1,2019,8,1,4,TRUE,4042,11.08
2019/8/2,2019,8,2,5,TRUE,5035,14.08
2019/8/3,2019,8,3,6,FALSE,5875,18.92
2019/8/4,2019,8,4,7,FALSE,3818,12.18
2019/8/5,2019,8,5,1,TRUE,3928,10.7
2019/8/6,2019,8,6,2,TRUE,4771,13.11
2019/8/7,2019,8,7,3,TRUE,4719,13.08
2019/8/8,2019,8,8,4,TRUE,4317,11.88
2019/8/9,2019,8,9,5,TRUE,6977,22.7
2019/8/10,2019,8,10,6,FALSE,4571,14.52
2019/8/11,2019,8,11,7,FALSE,4187,13.48
2019/8/12,2019,8,12,1,TRUE,5793,16.8
2019/8/13,2019,8,13,2,TRUE,4752,14.02
2019/8/14,2019,8,14,3,TRUE,4064,11.26
2019/8/15,2019,8,15,4,TRUE,6355,18.54
2019/8/16,2019,8,16,5,TRUE,6048,17.59
2019/8/17,2019,8,17,6,FALSE,6655,21.87
2019/8/18,2019,8,18,7,FALSE,6143,21.47
2019/8/19,2019,8,19,1,TRUE,6376,19.35
2019/8/20,2019,8,20,2,TRUE,6269,18.81
2019/8/21,2019,8,21,3,TRUE,6430,19.17
2019/8/22,2019,8,22,4,TRUE,4824,13.79
2019/8/23,2019,8,23,5,TRUE,4868,13.85
2019/8/24,2019,8,24,6,FALSE,6973,24.05
2019/8/25,2019,8,25,7,FALSE,5462,18.84
2019/8/26,2019,8,26,1,TRUE,5354,15.27
2019/8/27,2019,8,27,2,TRUE,4692,13.18
2019/8/28,2019,8,28,3,TRUE,4094,11.21
2019/8/29,2019,8,29,4,TRUE,4056,11.15
2019/8/30,2019,8,30,5,TRUE,5615,16.22
2019/8/31,2019,8,31,6,FALSE,4767,15.56
2019/9/1,2019,9,1,7,FALSE,4982,16.81
2019/9/2,2019,9,2,1,TRUE,4606,13.02
2019/9/3,2019,9,3,2,TRUE,4581,12.92
2019/9/4,2019,9,4,3,TRUE,5419,16.07
2019/9/5,2019,9,5,4,TRUE,5876,17.66
2019/9/6,2019,9,6,5,TRUE,5085,14.87
2019/9/7,2019,9,7,6,FALSE,4894,16.27
2019/9/8,2019,9,8,7,FALSE,4192,14.43
2019/9/9,2019,9,9,1,TRUE,4961,14.44
2019/9/10,2019,9,10,2,TRUE,4148,11.97
2019/9/11,2019,9,11,3,TRUE,4575,12.95
2019/9/12,2019,9,12,4,TRUE,4625,13.12
2019/9/13,2019,9,13,5,FALSE,4824,16.42
2019/9/14,2019,9,14,6,FALSE,4394,15.33
2019/9/15,2019,9,15,7,FALSE,5387,19.11
2019/9/16,2019,9,16,1,TRUE,6025,18.13
2019/9/17,2019,9,17,2,TRUE,5975,18.13
2019/9/18,2019,9,18,3,TRUE,6042,18.63
2019/9/19,2019,9,19,4,TRUE,6893,21.88
2019/9/20,2019,9,20,5,TRUE,6345,20.74
2019/9/21,2019,9,21,6,FALSE,5612,21.21
2019/9/22,2019,9,22,7,FALSE,5421,20.98
2019/9/23,2019,9,23,1,TRUE,6619,22.1
2019/9/24,2019,9,24,2,TRUE,6616,21.98
2019/9/25,2019,9,25,3,TRUE,5679,18.49
2019/9/26,2019,9,26,4,TRUE,5659,18.16
2019/9/27,2019,9,27,5,TRUE,6244,19.98
2019/9/28,2019,9,28,6,FALSE,4852,17.23
2019/9/29,2019,9,29,7,FALSE,4315,15.45
2019/9/30,2019,9,30,1,TRUE,7657,26.86
2019/10/1,2019,10,1,2,TRUE,4532,14.2
2019/10/2,2019,10,2,3,TRUE,4077,12.24
2019/10/3,2019,10,3,4,TRUE,3807,11.3
2019/10/4,2019,10,4,5,TRUE,4421,13.13
2019/10/5,2019,10,5,6,TRUE,4561,14.06
2019/10/6,2019,10,6,7,FALSE,3789,13.52
2019/10/7,2019,10,7,1,TRUE,3702,11.26
2019/10/8,2019,10,8,2,TRUE,4351,13.21
2019/10/9,2019,10,9,3,TRUE,4701,14.53
2019/10/10,2019,10,10,4,FALSE,4405,15.84
2019/10/11,2019,10,11,5,FALSE,4490,16.52
2019/10/12,2019,10,12,6,FALSE,4742,17.59
2019/10/13,2019,10,13,7,FALSE,5432,20.6
2019/10/14,2019,10,14,1,TRUE,5091,16.48
2019/10/15,2019,10,15,2,TRUE,5085,16.66
2019/10/16,2019,10,16,3,TRUE,3984,13.14
2019/10/17,2019,10,17,4,TRUE,4582,15.18
2019/10/18,2019,10,18,5,TRUE,4810,15.94
2019/10/19,2019,10,19,6,FALSE,4788,18.11
2019/10/20,2019,10,20,7,FALSE,4420,17.52
2019/10/21,2019,10,21,1,TRUE,4274,14.63
2019/10/22,2019,10,22,2,TRUE,3803,12.66
2019/10/23,2019,10,23,3,TRUE,3779,12.48
2019/10/24,2019,10,24,4,TRUE,3829,12.62
2019/10/25,2019,10,25,5,TRUE,4120,13.67
2019/10/26,2019,10,26,6,FALSE,3101,11.7
2019/10/27,2019,10,27,7,FALSE,2762,10.74
2019/10/28,2019,10,28,1,TRUE,4053,13.42
2019/10/29,2019,10,29,2,TRUE,4616,15.58
2019/10/30,2019,10,30,3,TRUE,3666,12.34
2019/10/31,2019,10,31,4,TRUE,3639,12.1
2019/11/1,2019,11,1,5,TRUE,3930,12.96
2019/11/2,2019,11,2,6,FALSE,3378,12.65
2019/11/3,2019,11,3,7,FALSE,3420,13.29
2019/11/4,2019,11,4,1,TRUE,3455,11.84
2019/11/5,2019,11,5,2,TRUE,3769,12.89
2019/11/6,2019,11,6,3,TRUE,3344,11.36
2019/11/7,2019,11,7,4,TRUE,3752,12.67
2019/11/8,2019,11,8,5,TRUE,4741,16.4
2019/11/9,2019,11,9,6,FALSE,3709,14.32
2019/11/10,2019,11,10,7,FALSE,3032,12.27
2019/11/11,2019,11,11,1,TRUE,3607,12.6
2019/11/12,2019,11,12,2,TRUE,3592,12.26
2019/11/13,2019,11,13,3,TRUE,3300,11.24
2019/11/14,2019,11,14,4,TRUE,3823,13.2
2019/11/15,2019,11,15,5,TRUE,3150,10.95
2019/11/16,2019,11,16,6,FALSE,3200,12.27
2019/11/17,2019,11,17,7,FALSE,2590,10.21
2019/11/18,2019,11,18,1,TRUE,3037,10.36
2019/11/19,2019,11,19,2,TRUE,3337,11.61
2019/11/20,2019,11,20,3,TRUE,3347,11.57
2019/11/21,2019,11,21,4,TRUE,2996,10.15
2019/11/22,2019,11,22,5,TRUE,2970,10.07
2019/11/23,2019,11,23,6,FALSE,2695,10.06
2019/11/24,2019,11,24,7,FALSE,3190,12.47
2019/11/25,2019,11,25,1,TRUE,2969,10.12
2019/11/26,2019,11,26,2,TRUE,3312,11.31
2019/11/27,2019,11,27,3,TRUE,3565,12.16
2019/11/28,2019,11,28,4,TRUE,3418,11.95
2019/11/29,2019,11,29,5,TRUE,3392,11.91
2019/11/30,2019,11,30,6,FALSE,3004,11.62
2019/12/1,2019,12,1,7,FALSE,3425,13.79
2019/12/2,2019,12,2,1,TRUE,3462,12.39
2019/12/3,2019,12,3,2,TRUE,3150,11.19
2019/12/4,2019,12,4,3,TRUE,3053,10.72
2019/12/5,2019,12,5,4,TRUE,3022,10.53
2019/12/6,2019,12,6,5,TRUE,3414,11.95
2019/12/7,2019,12,7,6,FALSE,2901,11.23
2019/12/8,2019,12,8,7,FALSE,2956,11.94
2019/12/9,2019,12,9,1,TRUE,3205,11.36
2019/12/10,2019,12,10,2,TRUE,3146,11.06
2019/12/11,2019,12,11,3,TRUE,3202,11.28
2019/12/12,2019,12,12,4,TRUE,2998,10.55
2019/12/13,2019,12,13,5,TRUE,3154,11.12
2019/12/14,2019,12,14,6,FALSE,3035,11.82
2019/12/15,2019,12,15,7,FALSE,2812,11.38
2019/12/16,2019,12,16,1,TRUE,3039,10.53
2019/12/17,2019,12,17,2,TRUE,3189,10.91
2019/12/18,2019,12,18,3,TRUE,3254,11.19
2019/12/19,2019,12,19,4,TRUE,3107,10.73
2019/12/20,2019,12,20,5,TRUE,3146,11.01
2019/12/21,2019,12,21,6,FALSE,2815,10.69
2019/12/22,2019,12,22,7,FALSE,2747,10.94
2019/12/23,2019,12,23,1,TRUE,3330,11.57
