,year,month,day,supply,load,remain
0,2019,1,2,30047,28148,1899
1,2019,1,3,30343,28452,1891
2,2019,1,4,30301,28490,1811
3,2019,1,5,27957,26054,1903
4,2019,1,6,26950,24617,2333
5,2019,1,7,30336,28536,1800
6,2019,1,8,30562,28719,1843
7,2019,1,9,30595,28641,1954
8,2019,1,10,30853,29006,1847
9,2019,1,11,30682,28798,1884
