日期,備轉容量(萬瓩),備轉容量率(%)
2020/8/3,489.8,14.53
2020/8/4,435.3,12.79
2020/8/5,438.7,12.4
2020/8/6,385.3,10.53
2020/8/7,386,10.52
2020/8/8,387.1,11.96
2020/8/9,318.7,10.23
2020/8/10,372.6,10.23
2020/8/11,438.4,12.47
2020/8/12,427,11.69
2020/8/13,465.1,12.81
2020/8/14,502.2,13.97
2020/8/15,494.1,15.83
2020/8/16,462.2,15.55
2020/8/17,458.5,12.9
2020/8/18,423.6,11.68
2020/8/19,386.9,10.46
2020/8/20,438.4,11.91
2020/8/21,386.2,10.49
2020/8/22,339.8,10.97
2020/8/23,329.7,10.9
2020/8/24,369.4,10.13
2020/8/25,381.2,10.28
2020/8/26,379.6,10.6
2020/8/27,454.5,12.95
2020/8/28,427.2,12.16
2020/8/29,417.4,13.4
2020/8/30,408.6,13.32
2020/8/31,471.9,13.41
2020/9/1,447.8,12.64
2020/9/2,386.9,10.6
2020/9/3,481.1,13.56
2020/9/4,487,13.54
2020/9/5,392.3,12.75
2020/9/6,387.3,13.87
2020/9/7,436.2,12.85
2020/9/8,415.5,11.83
2020/9/9,417.7,11.81
2020/9/10,425.5,12.01
2020/9/11,408.4,11.47
2020/9/12,338.3,10.8
2020/9/13,302.4,10.07
2020/9/14,371.8,10.43
2020/9/15,372.5,10.26
2020/9/16,373.3,10.22
2020/9/17,372.4,10.11
2020/9/18,372.9,10.11
2020/9/19,331.7,10.21
2020/9/20,388.5,13.16
2020/9/21,456.2,13.26
2020/9/22,512.5,14.97
2020/9/23,477.2,13.76
2020/9/24,543.4,16.21
2020/9/25,527.4,16.48
2020/9/26,454.7,14.62
2020/9/27,448.9,16.75
2020/9/28,455.5,14.64
2020/9/29,425.9,13.42
2020/9/30,528.5,17.2
2020/10/1,464.5,17.6
2020/10/2,346,12.78
2020/10/3,341.8,12.41
2020/10/4,359.2,12.7
2020/10/5,453.9,13.96
2020/10/6,423.9,13.29
2020/10/7,410,13.1
2020/10/8,471.8,15.31
2020/10/9,431,15.68
2020/10/10,329.5,12.03
2020/10/11,308.8,11.26
2020/10/12,336.1,10.17
2020/10/13,346.5,10.38
2020/10/14,399.2,12.17
2020/10/15,392.6,12.01
2020/10/16,380.1,11.56
2020/10/17,408.7,14.59
2020/10/18,394.6,14.85
2020/10/19,450.5,14.51
2020/10/20,424.4,13.42
2020/10/21,330.9,10.22
2020/10/22,434.1,13.91
2020/10/23,400.3,13.48
2020/10/24,389.2,14.53
2020/10/25,402.5,15.41
2020/10/26,350.3,11.27
2020/10/27,340.1,10.74
2020/10/28,347,10.86
2020/10/29,370.8,11.86
2020/10/30,421.5,13.93
2020/10/31,371.9,13.9
2020/11/1,356.9,13.66
2020/11/2,352.3,11.58
2020/11/3,318.9,10.64
2020/11/4,355.1,11.92
2020/11/5,331.9,10.94
2020/11/6,326.3,10.26
2020/11/7,319.9,11.34
2020/11/8,392.8,15.33
2020/11/9,408,13.89
2020/11/10,359,12.04
2020/11/11,370.8,12.52
2020/11/12,319.1,10.5
2020/11/13,337.3,11.17
2020/11/14,336.4,12.39
2020/11/15,346.3,13.27
2020/11/16,314.7,10.16
2020/11/17,320.2,10.2
2020/11/18,336.1,10.56
2020/11/19,331.4,10.33
2020/11/20,364.3,11.38
2020/11/21,292.8,10.21
2020/11/22,276.5,10.28
2020/11/23,314.5,10.2
2020/11/24,313.4,10.13
2020/11/25,330.6,10.5
2020/11/26,314.5,10.01
2020/11/27,349.5,11.58
2020/11/28,297.7,11.09
2020/11/29,328.7,13.02
2020/11/30,332,11.4
2020/12/1,323.7,10.94
