,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-01,7.229617634837015,3.068455945219806,8.145642892806059,7.229617634837015,7.229617634837015,-1.61652050465755,-1.61652050465755,-1.61652050465755,-0.4705621973370971,-0.4705621973370971,-0.4705621973370971,-1.1459583073204527,-1.1459583073204527,-1.1459583073204527,0.0,0.0,0.0,5.613097130179465
1,2019-01-02,7.25571129321768,3.272922938644732,8.140385203449846,7.25571129321768,7.25571129321768,-1.5887241293003238,-1.5887241293003238,-1.5887241293003238,-0.4700813176279688,-0.4700813176279688,-0.4700813176279688,-1.118642811672355,-1.118642811672355,-1.118642811672355,0.0,0.0,0.0,5.666987163917357
2,2019-01-03,7.281804951598346,3.345332394019018,8.264730462982385,7.281804951598346,7.281804951598346,-1.4940177795210992,-1.4940177795210992,-1.4940177795210992,-0.4055202136586435,-0.4055202136586435,-0.4055202136586435,-1.0884975658624556,-1.0884975658624556,-1.0884975658624556,0.0,0.0,0.0,5.7877871720772465
3,2019-01-04,7.307898609979013,3.4747313603143013,8.755610068414471,7.307898609979013,7.307898609979013,-1.1151292331485343,-1.1151292331485343,-1.1151292331485343,-0.059456216560176106,-0.059456216560176106,-0.059456216560176106,-1.055673016588358,-1.055673016588358,-1.055673016588358,0.0,0.0,0.0,6.192769376830478
4,2019-01-05,7.333992268359679,4.58487551030168,9.542545039460771,7.33399226835968,7.33399226835968,-0.12016407498371821,-0.12016407498371821,-0.12016407498371821,0.9001688851264864,0.9001688851264864,0.9001688851264864,-1.0203329601102047,-1.0203329601102047,-1.0203329601102047,0.0,0.0,0.0,7.213828193375961
5,2019-01-06,7.360085926740345,4.597943180320182,9.794932175007663,7.360085926740345,7.360085926740345,-0.19194449519547255,-0.19194449519547255,-0.19194449519547255,0.790700089838929,0.790700089838929,0.790700089838929,-0.9826445850344017,-0.9826445850344017,-0.9826445850344017,0.0,0.0,0.0,7.168141431544872
6,2019-01-07,7.38617958512101,3.5764893580138235,8.653665988669612,7.38617958512101,7.38617958512101,-1.2280185694848549,-1.2280185694848549,-1.2280185694848549,-0.28524902978261923,-0.28524902978261923,-0.28524902978261923,-0.9427695397022356,-0.9427695397022356,-0.9427695397022356,0.0,0.0,0.0,6.158161015636155
7,2019-01-08,7.412273243501677,3.4754811265440373,8.40288880321601,7.412273243501677,7.412273243501677,-1.3714186471346577,-1.3714186471346577,-1.3714186471346577,-0.4705621973368063,-0.4705621973368063,-0.4705621973368063,-0.9008564497978514,-0.9008564497978514,-0.9008564497978514,0.0,0.0,0.0,6.040854596367019
8,2019-01-09,7.438366901882342,3.565389345113657,8.924950953169702,7.438366901882342,7.438366901882342,-1.327116561704452,-1.327116561704452,-1.327116561704452,-0.4700813176279343,-0.4700813176279343,-0.4700813176279343,-0.8570352440765177,-0.8570352440765177,-0.8570352440765177,0.0,0.0,0.0,6.11125034017789
9,2019-01-10,7.464460560263008,3.477231101921,9.03861207883719,7.464460560263008,7.464460560263008,-1.2169337783117729,-1.2169337783117729,-1.2169337783117729,-0.40552021365873464,-0.40552021365873464,-0.40552021365873464,-0.8114135646530383,-0.8114135646530383,-0.8114135646530383,0.0,0.0,0.0,6.247526781951235
10,2019-01-11,7.490554218643674,4.058132468290625,9.218975131595842,7.490554218643675,7.490554218643675,-0.8235316626192789,-0.8235316626192789,-0.8235316626192789,-0.0594562165594041,-0.0594562165594041,-0.0594562165594041,-0.7640754460598748,-0.7640754460598748,-0.7640754460598748,0.0,0.0,0.0,6.667022556024396
11,2019-01-12,7.516647877024341,5.255285171599052,10.158748020206176,7.516647877024341,7.516647877024341,0.1850865374391817,0.1850865374391817,0.1850865374391817,0.9001688851262272,0.9001688851262272,0.9001688851262272,-0.7150823476870455,-0.7150823476870455,-0.7150823476870455,0.0,0.0,0.0,7.701734414463523
12,2019-01-13,7.542741535405007,4.980412208439146,10.296154599985115,7.542741535405007,7.542741535405007,0.12622356896132914,0.12622356896132914,0.12622356896132914,0.7907000898395805,0.7907000898395805,0.7907000898395805,-0.6644765208782514,-0.6644765208782514,-0.6644765208782514,0.0,0.0,0.0,7.668965104366336
13,2019-01-14,7.568835193785672,4.171497620620851,9.13107588068953,7.568835193785672,7.568835193785672,-0.8975356184441725,-0.8975356184441725,-0.8975356184441725,-0.2852490297836998,-0.2852490297836998,-0.2852490297836998,-0.6122865886604729,-0.6122865886604729,-0.6122865886604729,0.0,0.0,0.0,6.671299575341499
14,2019-01-15,7.594928852166338,4.005115233400935,9.276549646295768,7.594928852166338,7.594928852166338,-1.0290973139368285,-1.0290973139368285,-1.0290973139368285,-0.470562197337085,-0.470562197337085,-0.470562197337085,-0.5585351165997435,-0.5585351165997435,-0.5585351165997435,0.0,0.0,0.0,6.565831538229509
15,2019-01-16,7.621022510547005,4.0429090189327415,9.24009538260087,7.621022510547005,7.621022510547005,-0.9733291789143793,-0.9733291789143793,-0.9733291789143793,-0.47008131762794053,-0.47008131762794053,-0.47008131762794053,-0.5032478612864387,-0.5032478612864387,-0.5032478612864387,0.0,0.0,0.0,6.647693331632626
16,2019-01-17,7.6471161689276705,4.155181510164888,9.323131981504693,7.6471161689276705,7.6471161689276705,-0.8519845154987853,-0.8519845154987853,-0.8519845154987853,-0.40552021365879815,-0.40552021365879815,-0.40552021365879815,-0.446464301839987,-0.446464301839987,-0.446464301839987,0.0,0.0,0.0,6.795131653428886
17,2019-01-18,7.6732098273083365,4.690245985614835,9.885507803438003,7.6732098273083365,7.6732098273083365,-0.4477052092581294,-0.4477052092581294,-0.4477052092581294,-0.05945621655912786,-0.05945621655912786,-0.05945621655912786,-0.3882489926990016,-0.3882489926990016,-0.3882489926990016,0.0,0.0,0.0,7.225504618050207
18,2019-01-19,7.6993034856890015,5.7123510936382385,10.765956358623907,7.6993034856890015,7.6993034856890015,0.571465659791184,0.571465659791184,0.571465659791184,0.9001688851271084,0.9001688851271084,0.9001688851271084,-0.3287032253359242,-0.3287032253359242,-0.3287032253359242,0.0,0.0,0.0,8.270769145480186
19,2019-01-20,7.725397144069669,5.592136786279235,10.717578102220536,7.725397144069669,7.725397144069669,0.5227236352867147,0.5227236352867147,0.5227236352867147,0.7907000898407638,0.7907000898407638,0.7907000898407638,-0.267976454554049,-0.267976454554049,-0.267976454554049,0.0,0.0,0.0,8.248120779356384
20,2019-01-21,7.751490802450334,4.821291341090887,9.82061154443791,7.751490802450334,7.751490802450334,-0.4915259627604538,-0.4915259627604538,-0.4915259627604538,-0.28524902978234057,-0.28524902978234057,-0.28524902978234057,-0.20627693297811323,-0.20627693297811323,-0.20627693297811323,0.0,0.0,0.0,7.25996483968988
21,2019-01-22,7.777584460831,4.682251249370044,9.76525967903251,7.777584460831,7.777584460831,-0.6144432034055178,-0.6144432034055178,-0.6144432034055178,-0.4705621973369617,-0.4705621973369617,-0.4705621973369617,-0.1438810060685561,-0.1438810060685561,-0.1438810060685561,0.0,0.0,0.0,7.163141257425482
