,ds,y
199,2019/7/19,4510.0
200,2019/7/20,6218.0
201,2019/7/21,5390.0
202,2019/7/22,5758.0
203,2019/7/23,4766.0
204,2019/7/24,5038.0
205,2019/7/25,4636.0
206,2019/7/26,3897.0
207,2019/7/27,5346.0
208,2019/7/28,5714.0
209,2019/7/29,4924.0
210,2019/7/30,4067.0
211,2019/7/31,3729.0
212,2019/8/1,4042.0
213,2019/8/2,5035.0
214,2019/8/3,5875.0
215,2019/8/4,3818.0
216,2019/8/5,3928.0
217,2019/8/6,4771.0
218,2019/8/7,4719.0
219,2019/8/8,4317.0
220,2019/8/9,6977.0
221,2019/8/10,4571.0
222,2019/8/11,4187.0
223,2019/8/12,5793.0
224,2019/8/13,4752.0
225,2019/8/14,4064.0
226,2019/8/15,6355.0
227,2019/8/16,6048.0
228,2019/8/17,6655.0
229,2019/8/18,6143.0
230,2019/8/19,6376.0
231,2019/8/20,6269.0
232,2019/8/21,6430.0
233,2019/8/22,4824.0
234,2019/8/23,4868.0
235,2019/8/24,6973.0
236,2019/8/25,5462.0
237,2019/8/26,5354.0
238,2019/8/27,4692.0
239,2019/8/28,4094.0
240,2019/8/29,4056.0
241,2019/8/30,5615.0
242,2019/8/31,4767.0
243,2019/9/1,4982.0
244,2019/9/2,4606.0
245,2019/9/3,4581.0
246,2019/9/4,5419.0
247,2019/9/5,5876.0
248,2019/9/6,5085.0
249,2019/9/7,4894.0
250,2019/9/8,4192.0
251,2019/9/9,4961.0
252,2019/9/10,4148.0
253,2019/9/11,4575.0
254,2019/9/12,4625.0
255,2019/9/13,4824.0
256,2019/9/14,4394.0
257,2019/9/15,5387.0
258,2019/9/16,6025.0
259,2019/9/17,5975.0
260,2019/9/18,6042.0
261,2019/9/19,6893.0
262,2019/9/20,6345.0
263,2019/9/21,5612.0
264,2019/9/22,5421.0
265,2019/9/23,6619.0
266,2019/9/24,6616.0
267,2019/9/25,5679.0
268,2019/9/26,5659.0
269,2019/9/27,6244.0
270,2019/9/28,4852.0
271,2019/9/29,4315.0
272,2019/9/30,7657.0
273,2019/10/1,4532.0
274,2019/10/2,4077.0
275,2019/10/3,3807.0
276,2019/10/4,4421.0
277,2019/10/5,4561.0
278,2019/10/6,3789.0
279,2019/10/7,3702.0
280,2019/10/8,4351.0
281,2019/10/9,4701.0
282,2019/10/10,4405.0
283,2019/10/11,4490.0
284,2019/10/12,4742.0
285,2019/10/13,5432.0
286,2019/10/14,5091.0
287,2019/10/15,5085.0
288,2019/10/16,3984.0
289,2019/10/17,4582.0
290,2019/10/18,4810.0
291,2019/10/19,4788.0
292,2019/10/20,4420.0
293,2019/10/21,4274.0
294,2019/10/22,3803.0
295,2019/10/23,3779.0
296,2019/10/24,3829.0
297,2019/10/25,4120.0
298,2019/10/26,3101.0
299,2019/10/27,2762.0
300,2019/10/28,4053.0
301,2019/10/29,4616.0
302,2019/10/30,3666.0
303,2019/10/31,3639.0
304,2019/11/1,3930.0
305,2019/11/2,3378.0
306,2019/11/3,3420.0
307,2019/11/4,3455.0
308,2019/11/5,3769.0
309,2019/11/6,3344.0
310,2019/11/7,3752.0
311,2019/11/8,4741.0
312,2019/11/9,3709.0
313,2019/11/10,3032.0
314,2019/11/11,3607.0
315,2019/11/12,3592.0
316,2019/11/13,3300.0
317,2019/11/14,3823.0
318,2019/11/15,3150.0
319,2019/11/16,3200.0
